node,neighbors,degree
0,"4,9,14,15,24,25,29,30,34,40,41,45,46,47,53,55,61,62,74,78,83,91,96,97",24
1,"3,10,14,15,20,35,45,55,65,67,75,79,82,84,90,93,95",17
2,"7,22,26,27,38,39,50,57,61,63,69,78,88,92,94,96,97",17
3,"1,15,19,24,28,30,38,39,46,50,53,54,62,72,74,89,92,96,97",19
4,"0,13,14,20,26,27,28,42,49,58,62,63,67,72,75,77,78,84,92,96",20
5,"21,28,37,38,47,48,53,55,58,59,70,72,73,78,79,86,93",17
6,"8,9,11,14,17,18,21,22,25,27,29,35,47,59,68,75,76,80,86,89,90,93,95,98",24
7,"2,9,26,27,34,49,52,53,54,62,68,72,74,75,83,86,87,96",18
8,"6,11,15,23,36,41,42,48,63,67,70,84,85,90,92,98",16
9,"0,6,7,11,26,35,37,43,48,51,56,59,60,61,69,70,74,76,97",19
10,"1,23,29,37,39,45,50,51,55,56,68,73,75,76,87,91",16
11,"6,8,9,18,26,30,31,40,51,52,56,58,59,66,76,81,82",17
12,"15,16,21,31,34,38,48,50,52,54,63,64,65,66,68,71,76,83,89,91,95,99",22
13,"4,14,18,19,20,27,31,35,37,38,40,42,45,48,59,65,72,73,80,84,96",21
14,"0,1,4,6,13,34,39,44,52,66,74,87,93",13
15,"0,1,3,8,12,25,35,36,43,49,51,53,59,69,78,87,92,96,98",19
16,"12,24,27,28,36,42,46,47,51,61,66,67,71,73,74,77,82,88,89,97",20
17,"6,18,20,21,22,23,25,28,32,33,34,36,40,41,48,62,63,64,66,69,73,83,85,86,92,95",26
18,"6,11,13,17,20,29,38,44,49,52,66,76,82,93,97,98",16
19,"3,13,24,40,46,58,60,69,74,83,86,95",12
20,"1,4,13,17,18,22,23,38,42,47,53,54,58,59,61,89,90,92,93,94",20
21,"5,6,12,17,26,27,31,37,38,42,44,51,59,69,74,76,84,91,95",19
22,"2,6,17,20,31,32,38,40,42,51,57,59,74,77,83,90",16
23,"8,10,17,20,28,34,39,50,54,57,58,75,82,85,86,89,96,97",18
24,"0,3,16,19,34,39,47,48,72,94,95",11
25,"0,6,15,17,26,28,30,33,39,44,46,47,53,55,60,67,70,71,74,88,99",21
26,"2,4,7,9,11,21,25,33,35,43,44,45,50,59,73,81,84,85,96,99",20
27,"2,4,6,7,13,16,21,30,31,38,49,51,55,58,61,62,65,67,72,79,88,92,97,99",24
28,"3,4,5,16,17,23,25,31,32,38,43,45,46,47,60,64,66,68,69,71,74,75,83,93",24
29,"0,6,10,18,31,37,38,40,45,63,67,76,77,80,84,95,98",17
