Node,AverageAttackRate
0,0.851961
4,0.801421
9,0.797536
14,0.654106
15,0.788458
24,0.580443
25,0.823569
29,0.750928
30,0.850231
34,0.830614
40,0.695758
41,0.726024
45,0.795954
46,0.829971
47,0.740598
53,0.762544
55,0.845131
61,0.806669
62,0.790457
74,0.906040
78,0.752975
83,0.793513
91,0.819267
96,0.812659
97,0.823043
1,0.745448
3,0.777769
10,0.721324
20,0.796477
35,0.885016
65,0.620989
67,0.762115
75,0.836051
79,0.812155
82,0.766337
84,0.821021
90,0.790441
93,0.871355
95,0.841180
2,0.741399
7,0.767011
22,0.734154
26,0.802775
27,0.856802
38,0.825305
39,0.646528
50,0.821062
57,0.779274
63,0.725225
69,0.873149
88,0.705274
92,0.790865
94,0.726237
19,0.618047
28,0.861902
54,0.763340
72,0.813549
89,0.726810
13,0.807057
42,0.766862
49,0.707643
58,0.799534
77,0.826536
5,0.747220
21,0.802646
37,0.748820
48,0.820462
59,0.792603
70,0.775147
73,0.677220
86,0.747028
6,0.856956
8,0.725507
11,0.750883
17,0.875028
18,0.734691
68,0.819086
76,0.877279
80,0.791724
98,0.849912
52,0.825258
87,0.646969
23,0.762847
36,0.883171
85,0.766376
43,0.793974
51,0.879366
56,0.829394
60,0.729086
31,0.851513
66,0.733657
81,0.757396
12,0.833161
16,0.801718
64,0.772188
71,0.879218
99,0.804368
44,0.816487
32,0.738496
33,0.868005
