,Seed 0,Seed 4,Seed 9,Seed 14,Seed 15,Seed 24,Seed 25,Seed 29,Seed 30,Seed 34,Seed 40,Seed 41,Seed 45,Seed 46,Seed 47,Seed 53,Seed 55,Seed 61,Seed 62,Seed 74,Seed 78,Seed 83,Seed 91,Seed 96,Seed 97,Seed 1,Seed 3,Seed 10,Seed 20,Seed 35,Seed 65,Seed 67,Seed 75,Seed 79,Seed 82,Seed 84,Seed 90,Seed 93,Seed 95,Seed 2,Seed 7,Seed 22,Seed 26,Seed 27,Seed 38,Seed 39,Seed 50,Seed 57,Seed 63,Seed 69,Seed 88,Seed 92,Seed 94,Seed 19,Seed 28,Seed 54,Seed 72,Seed 89,Seed 13,Seed 42,Seed 49,Seed 58,Seed 77,Seed 5,Seed 21,Seed 37,Seed 48,Seed 59,Seed 70,Seed 73,Seed 86,Seed 6,Seed 8,Seed 11,Seed 17,Seed 18,Seed 68,Seed 76,Seed 80,Seed 98,Seed 52,Seed 87,Seed 23,Seed 36,Seed 85,Seed 43,Seed 51,Seed 56,Seed 60,Seed 31,Seed 66,Seed 81,Seed 12,Seed 16,Seed 64,Seed 71,Seed 99,Seed 44,Seed 32,Seed 33
sigma_0,1.000000,0.854555,0.854405,0.857043,0.854762,0.858305,0.854228,0.855279,0.853468,0.854180,0.856284,0.855859,0.854485,0.853899,0.855762,0.855073,0.853664,0.854311,0.854620,0.852559,0.855379,0.854450,0.854026,0.854301,0.853919,0.851164,0.851522,0.851153,0.851027,0.850878,0.851115,0.851475,0.850896,0.850796,0.850903,0.851060,0.850994,0.850873,0.851035,0.851128,0.851318,0.850960,0.851053,0.850939,0.850883,0.851607,0.850989,0.850882,0.851252,0.850871,0.850981,0.851215,0.851174,0.851619,0.850985,0.850875,0.851028,0.850897,0.851155,0.850888,0.851326,0.850957,0.850846,0.851132,0.850741,0.851193,0.851184,0.851117,0.851086,0.850897,0.851092,0.850968,0.850974,0.850996,0.850942,0.850917,0.851013,0.851069,0.851048,0.851019,0.851399,0.851738,0.850932,0.850841,0.850865,0.851184,0.850827,0.850904,0.851441,0.850832,0.851036,0.851259,0.850897,0.851158,0.850987,0.850933,0.850797,0.851316,0.850865,0.851028
sigma_4,0.803880,1.000000,0.800154,0.808341,0.800645,0.800445,0.800338,0.800707,0.800165,0.800410,0.800795,0.800286,0.800562,0.800352,0.800338,0.800604,0.800442,0.800505,0.805414,0.800253,0.806240,0.800474,0.800508,0.804935,0.800316,0.800821,0.800610,0.800191,0.805266,0.800248,0.800685,0.806228,0.804180,0.800256,0.800414,0.804667,0.800378,0.800246,0.800269,0.800956,0.800921,0.800506,0.804846,0.803972,0.800322,0.800633,0.800362,0.800441,0.806811,0.800163,0.800568,0.805481,0.800471,0.800480,0.803288,0.800259,0.804808,0.800547,0.805335,0.806150,0.807126,0.805020,0.804416,0.800551,0.800378,0.800439,0.800309,0.800462,0.800272,0.800631,0.800488,0.800213,0.800877,0.800284,0.800316,0.800518,0.800258,0.800005,0.800544,0.800081,0.800642,0.800568,0.800606,0.800365,0.800151,0.800399,0.800116,0.800202,0.800459,0.800401,0.800481,0.800419,0.800111,0.800511,0.800309,0.800287,0.800543,0.800667,0.800975,0.800403
sigma_9,0.800076,0.796502,1.000000,0.796702,0.796874,0.796714,0.796825,0.796804,0.796782,0.796695,0.797193,0.796660,0.796669,0.796799,0.796694,0.796793,0.796454,0.801300,0.796732,0.798904,0.797141,0.796906,0.796787,0.796626,0.801064,0.796406,0.796509,0.796862,0.796542,0.799416,0.796454,0.796443,0.796842,0.796800,0.796840,0.796730,0.796467,0.796520,0.796424,0.797016,0.802086,0.796767,0.801627,0.796631,0.796778,0.796407,0.796637,0.796545,0.796644,0.799502,0.796760,0.796392,0.796807,0.796878,0.796531,0.796686,0.796547,0.796820,0.796761,0.796502,0.796725,0.796524,0.796630,0.796998,0.797000,0.802542,0.801183,0.802079,0.802112,0.797231,0.796922,0.800029,0.796945,0.802949,0.796446,0.796872,0.796554,0.799588,0.796815,0.796684,0.796980,0.796782,0.796473,0.796454,0.796977,0.801681,0.799547,0.800867,0.802861,0.796552,0.796737,0.796949,0.796460,0.796648,0.796691,0.796536,0.796862,0.796686,0.796452,0.796754
sigma_14,0.658890,0.660861,0.652868,1.000000,0.653329,0.653941,0.653290,0.652976,0.652806,0.659903,0.653346,0.653233,0.653421,0.652976,0.653242,0.653369,0.653147,0.652824,0.653251,0.656542,0.653652,0.653048,0.652949,0.653889,0.652795,0.662991,0.653350,0.653821,0.653323,0.653178,0.654005,0.653426,0.653003,0.653013,0.652906,0.653427,0.653281,0.658256,0.653283,0.653001,0.653466,0.652824,0.652936,0.652869,0.652868,0.667520,0.652536,0.652665,0.652816,0.652574,0.652738,0.652750,0.652957,0.653151,0.652935,0.652700,0.652913,0.653606,0.660548,0.652966,0.653142,0.652917,0.652752,0.652754,0.652883,0.652885,0.653064,0.652947,0.652687,0.652878,0.652976,0.658409,0.652778,0.653212,0.652836,0.653883,0.653089,0.652803,0.652964,0.652849,0.659742,0.667566,0.653177,0.652623,0.652493,0.652807,0.652566,0.652888,0.652929,0.652706,0.663214,0.653076,0.653020,0.652868,0.653740,0.652552,0.653092,0.660407,0.652492,0.652656
sigma_15,0.791171,0.787729,0.787610,0.787898,1.000000,0.787613,0.791698,0.787320,0.787528,0.787824,0.787482,0.788051,0.787480,0.787692,0.787438,0.793571,0.787529,0.787326,0.787565,0.787444,0.793733,0.787388,0.787646,0.792291,0.787417,0.793673,0.793204,0.787683,0.787622,0.790213,0.788002,0.787763,0.787351,0.787450,0.787382,0.787482,0.787475,0.787362,0.787414,0.787729,0.787829,0.787350,0.787626,0.787315,0.787419,0.788203,0.787397,0.787585,0.787750,0.790443,0.787365,0.792998,0.787442,0.787503,0.787310,0.787418,0.787394,0.787532,0.787409,0.787708,0.794439,0.787153,0.787321,0.787613,0.787398,0.787225,0.787536,0.792687,0.787759,0.787700,0.787598,0.787419,0.794306,0.787513,0.787280,0.787412,0.787221,0.787307,0.787669,0.791192,0.787639,0.796135,0.787450,0.790469,0.787610,0.792559,0.790315,0.787259,0.787447,0.787240,0.787462,0.787356,0.791246,0.787308,0.787484,0.787276,0.787739,0.787411,0.787360,0.787558
sigma_24,0.586315,0.579116,0.579037,0.580097,0.579201,1.000000,0.579478,0.579126,0.579176,0.587257,0.579668,0.579370,0.579255,0.579812,0.591668,0.579980,0.579257,0.579298,0.579151,0.579383,0.579185,0.579702,0.578825,0.579839,0.579698,0.579328,0.590616,0.579316,0.579341,0.578952,0.579530,0.579035,0.578870,0.579040,0.579184,0.579044,0.578734,0.578787,0.587060,0.579634,0.579292,0.578738,0.578709,0.579006,0.578963,0.596103,0.579166,0.578951,0.579046,0.578892,0.579566,0.579041,0.591918,0.597695,0.579240,0.579538,0.588188,0.579954,0.579540,0.579220,0.579024,0.579457,0.578992,0.579616,0.578853,0.579049,0.587434,0.578666,0.578680,0.579105,0.579840,0.578981,0.578951,0.578710,0.579038,0.578732,0.579354,0.578939,0.578964,0.578627,0.578926,0.579875,0.579507,0.579143,0.579024,0.578882,0.579269,0.579129,0.579660,0.578952,0.579688,0.579201,0.579384,0.588622,0.579826,0.578952,0.578908,0.579706,0.578950,0.579074
sigma_25,0.825900,0.822687,0.822826,0.823123,0.826962,0.823155,1.000000,0.822641,0.826010,0.822441,0.822945,0.822967,0.822593,0.826313,0.828428,0.827777,0.825875,0.822552,0.822798,0.824622,0.823251,0.822501,0.822652,0.822736,0.822441,0.822744,0.823092,0.822691,0.822633,0.822648,0.823231,0.827639,0.822547,0.822516,0.822896,0.822742,0.822703,0.822590,0.822533,0.822872,0.822653,0.822546,0.826699,0.822693,0.822500,0.830054,0.822589,0.822596,0.822732,0.822452,0.828994,0.822788,0.822761,0.822868,0.825550,0.822538,0.822528,0.822994,0.822350,0.822730,0.822848,0.822493,0.822471,0.822977,0.822643,0.822605,0.822666,0.822844,0.827298,0.822755,0.822747,0.825442,0.822894,0.822652,0.825042,0.822609,0.822685,0.822781,0.822654,0.822556,0.822706,0.823233,0.822690,0.822461,0.822970,0.822735,0.822415,0.822522,0.828587,0.822485,0.822839,0.822853,0.822527,0.822974,0.823071,0.825239,0.826664,0.826605,0.822650,0.825519
sigma_29,0.754074,0.750176,0.749926,0.749932,0.749705,0.749924,0.749762,1.000000,0.749845,0.749845,0.758896,0.749978,0.755861,0.749675,0.749841,0.749888,0.749959,0.750143,0.750018,0.749822,0.750029,0.749988,0.750154,0.749820,0.749918,0.750431,0.749640,0.758150,0.749834,0.749549,0.750143,0.756850,0.750271,0.749951,0.750100,0.755107,0.749777,0.749972,0.754513,0.749885,0.749535,0.750344,0.749745,0.749811,0.754759,0.750087,0.749846,0.749919,0.757504,0.749887,0.749974,0.749617,0.749497,0.750141,0.749666,0.749810,0.749811,0.750289,0.750638,0.750063,0.750248,0.749715,0.754874,0.749882,0.750257,0.757071,0.749821,0.749821,0.749764,0.750358,0.750128,0.754142,0.750408,0.750361,0.749920,0.757752,0.750247,0.753645,0.756005,0.754194,0.750086,0.749818,0.749770,0.749892,0.749799,0.749706,0.749904,0.750028,0.749954,0.753925,0.749866,0.749943,0.749966,0.749781,0.749492,0.749680,0.749900,0.749841,0.749866,0.749702
sigma_30,0.851915,0.849292,0.849561,0.849419,0.849571,0.849630,0.852786,0.849502,1.000000,0.849264,0.849424,0.849662,0.849328,0.849683,0.854149,0.849715,0.852183,0.849312,0.849531,0.849328,0.849558,0.849199,0.849730,0.849500,0.849376,0.849588,0.853146,0.849418,0.849448,0.849210,0.849522,0.849616,0.849251,0.849383,0.853658,0.849278,0.853123,0.851708,0.849169,0.849565,0.849165,0.849425,0.849578,0.851852,0.849233,0.849574,0.849365,0.853529,0.849363,0.849278,0.854637,0.852986,0.849591,0.849281,0.849400,0.849535,0.849423,0.849381,0.849292,0.849621,0.849274,0.849635,0.849418,0.849650,0.849407,0.853664,0.849322,0.849521,0.853576,0.849419,0.849422,0.849484,0.849856,0.853790,0.849237,0.849664,0.849406,0.851616,0.849307,0.851998,0.849315,0.849232,0.849472,0.849329,0.854036,0.853034,0.849414,0.849388,0.849525,0.852042,0.849426,0.849691,0.849195,0.849524,0.849359,0.851562,0.849548,0.852635,0.849565,0.851715
sigma_34,0.832820,0.829728,0.829664,0.836693,0.830056,0.837891,0.829409,0.829692,0.829453,1.000000,0.829757,0.829697,0.833905,0.829503,0.829767,0.829773,0.829630,0.829614,0.829867,0.829609,0.834518,0.833851,0.829555,0.833729,0.829671,0.829942,0.829696,0.830143,0.829537,0.829431,0.829493,0.829448,0.829659,0.833572,0.829585,0.829549,0.829544,0.832116,0.833194,0.829761,0.834642,0.829558,0.829802,0.829440,0.829552,0.830477,0.829684,0.829620,0.829707,0.829565,0.829600,0.829663,0.829892,0.830237,0.829666,0.829982,0.829908,0.829746,0.829640,0.829443,0.829701,0.829510,0.829547,0.829807,0.829586,0.829661,0.829621,0.829559,0.829634,0.829693,0.835066,0.829690,0.829531,0.829578,0.832070,0.829543,0.833513,0.831787,0.829781,0.829456,0.829903,0.836945,0.834396,0.831882,0.829660,0.833860,0.831829,0.829540,0.829479,0.829620,0.829921,0.834579,0.832921,0.829642,0.829861,0.829484,0.829693,0.830003,0.829370,0.829492
