Node,AverageAttackRate,Rank
74,0.906040,1
35,0.885016,2
36,0.883171,3
51,0.879366,4
71,0.879218,5
76,0.877279,6
17,0.875028,7
69,0.873149,8
93,0.871355,9
33,0.868005,10
28,0.861902,11
6,0.856956,12
27,0.856802,13
0,0.851961,14
31,0.851513,15
30,0.850231,16
98,0.849912,17
55,0.845131,18
95,0.841180,19
75,0.836051,20
12,0.833161,21
34,0.830614,22
46,0.829971,23
56,0.829394,24
77,0.826536,25
38,0.825305,26
52,0.825258,27
25,0.823569,28
97,0.823043,29
50,0.821062,30
84,0.821021,31
48,0.820462,32
91,0.819267,33
68,0.819086,34
44,0.816487,35
72,0.813549,36
96,0.812659,37
79,0.812155,38
13,0.807057,39
61,0.806669,40
99,0.804368,41
26,0.802775,42
21,0.802646,43
16,0.801718,44
4,0.801421,45
58,0.799534,46
9,0.797536,47
20,0.796477,48
45,0.795954,49
43,0.793974,50
83,0.793513,51
59,0.792603,52
80,0.791724,53
92,0.790865,54
62,0.790457,55
90,0.790441,56
15,0.788458,57
57,0.779274,58
3,0.777769,59
70,0.775147,60
64,0.772188,61
7,0.767011,62
42,0.766862,63
85,0.766376,64
82,0.766337,65
54,0.763340,66
23,0.762847,67
53,0.762544,68
67,0.762115,69
81,0.757396,70
78,0.752975,71
29,0.750928,72
11,0.750883,73
37,0.748820,74
5,0.747220,75
86,0.747028,76
1,0.745448,77
2,0.741399,78
47,0.740598,79
32,0.738496,80
18,0.734691,81
22,0.734154,82
66,0.733657,83
60,0.729086,84
89,0.726810,85
94,0.726237,86
41,0.726024,87
8,0.725507,88
63,0.725225,89
10,0.721324,90
49,0.707643,91
88,0.705274,92
40,0.695758,93
73,0.677220,94
14,0.654106,95
87,0.646969,96
39,0.646528,97
65,0.620989,98
19,0.618047,99
24,0.580443,100
