Node,AverageAttackRate
0,0.994505
1,0.940031
2,0.950286
3,0.996136
4,0.990873
5,0.971334
6,0.691486
7,0.889278
8,0.897672
9,0.842191
10,0.852595
11,0.982717
12,0.766435
13,0.766863
14,0.866242
15,0.765949
16,0.905888
17,0.904568
18,0.847937
19,0.717279
20,0.776795
21,0.715074
22,0.783902
23,0.691270
24,0.869643
25,0.681555
26,0.718602
27,0.644083
28,0.813907
29,0.819550
30,0.884623
31,0.550441
32,0.620519
33,0.785713
34,0.864567
35,0.641231
36,0.737346
37,0.614837
38,0.696264
39,0.833192
40,0.735911
41,0.688284
42,0.701173
43,0.677243
44,0.640443
45,0.513077
46,0.651107
47,0.634883
48,0.624665
49,0.530912
50,0.483313
51,0.684079
52,0.802348
53,0.822587
54,0.799869
55,0.725618
56,0.519670
57,0.430397
58,0.662317
59,0.735594
60,0.522666
61,0.529825
62,0.681455
63,0.705961
64,0.604142
65,0.695511
66,0.506248
67,0.432913
68,0.585940
69,0.546301
70,0.696863
71,0.516464
72,0.621250
73,0.437925
74,0.531783
75,0.589475
76,0.653608
77,0.548173
78,0.466905
79,0.510471
80,0.571370
81,0.689791
82,0.521051
83,0.550143
84,0.478997
85,0.667241
86,0.587324
87,0.727265
88,0.600715
89,0.531746
90,0.485898
91,0.551745
92,0.472950
93,0.533362
94,0.747996
95,0.484487
96,0.392973
97,0.408298
98,0.580337
99,0.489126
100,0.459344
101,0.481565
102,0.356759
103,0.384857
104,0.457480
105,0.455722
106,0.646650
107,0.594187
108,0.398915
109,0.374488
110,0.484564
111,0.427410
112,0.450336
113,0.472780
114,0.441444
115,0.477117
116,0.430416
117,0.419158
118,0.421439
119,0.539877
120,0.404454
121,0.506214
122,0.388558
123,0.665037
124,0.586003
125,0.503211
126,0.442386
127,0.424599
128,0.524667
129,0.506321
130,0.335610
131,0.459350
132,0.470305
133,0.437568
134,0.415923
135,0.445580
136,0.434375
137,0.288022
138,0.439348
139,0.362130
140,0.513558
141,0.463709
142,0.364964
143,0.503247
144,0.452711
145,0.448161
146,0.520642
147,0.494374
148,0.429039
149,0.491625
150,0.431311
151,0.474274
152,0.392906
153,0.494875
154,0.413825
155,0.393994
156,0.425143
157,0.399576
158,0.366903
159,0.428403
160,0.320954
161,0.471465
162,0.453277
163,0.384437
164,0.391943
165,0.364131
166,0.508079
167,0.377837
168,0.336330
169,0.388159
170,0.468842
171,0.460582
172,0.499913
173,0.352862
174,0.293109
175,0.515348
176,0.381924
177,0.377800
178,0.328341
179,0.394425
180,0.376021
181,0.460769
182,0.426301
183,0.340732
184,0.409251
185,0.352508
186,0.368360
187,0.371594
188,0.451787
189,0.403188
190,0.401269
191,0.460401
192,0.421496
193,0.422160
194,0.474034
195,0.406145
196,0.405540
197,0.339491
198,0.316614
199,0.443622
200,0.564226
201,0.375694
202,0.460364
203,0.389265
204,0.449583
205,0.411347
206,0.417388
207,0.324639
208,0.464916
209,0.353621
210,0.256182
211,0.250737
212,0.320789
213,0.326197
214,0.452873
215,0.367474
216,0.302326
217,0.350685
218,0.388769
219,0.414352
220,0.388079
221,0.298496
222,0.466372
223,0.449878
224,0.466730
225,0.417931
226,0.424721
227,0.393440
228,0.352794
229,0.399260
230,0.398967
231,0.370827
232,0.363469
233,0.335668
234,0.430572
235,0.302380
236,0.426234
237,0.353191
238,0.366356
239,0.282188
240,0.407366
241,0.360242
242,0.408018
243,0.429760
244,0.401016
245,0.375322
246,0.361034
247,0.411189
248,0.480957
249,0.339393
250,0.460027
251,0.419438
252,0.319161
253,0.307309
254,0.329140
255,0.304504
256,0.401999
257,0.394900
258,0.286717
259,0.451622
260,0.380225
261,0.346237
262,0.456694
263,0.449742
264,0.415464
265,0.244883
266,0.284151
267,0.311353
268,0.353984
269,0.390196
270,0.364202
271,0.322112
272,0.397006
273,0.304425
274,0.299302
275,0.365834
276,0.355343
277,0.385687
278,0.321651
279,0.306977
280,0.324582
281,0.370619
282,0.375206
283,0.477840
284,0.311317
285,0.307993
286,0.339818
287,0.338762
288,0.284617
289,0.333727
290,0.352307
291,0.311651
292,0.316168
293,0.307979
294,0.263882
295,0.296679
296,0.268491
297,0.319714
298,0.344960
299,0.339350
300,0.327295
301,0.312376
302,0.411202
303,0.378914
304,0.356554
305,0.270978
306,0.278908
307,0.312717
308,0.335644
309,0.357099
310,0.324066
311,0.388923
312,0.337037
313,0.302033
314,0.330435
315,0.308695
316,0.322077
317,0.337285
318,0.373713
319,0.306166
320,0.324251
321,0.274420
322,0.312618
323,0.242952
324,0.377781
325,0.361854
326,0.344681
327,0.267025
328,0.370846
329,0.301111
330,0.312504
331,0.412088
332,0.308772
333,0.356898
334,0.402579
335,0.207301
336,0.307875
337,0.347942
338,0.290029
339,0.294596
340,0.320207
341,0.340585
342,0.267766
343,0.344130
344,0.262401
345,0.308801
346,0.403525
347,0.238564
348,0.401203
349,0.329457
350,0.275530
351,0.398978
352,0.253892
353,0.397584
354,0.314270
355,0.378984
356,0.409153
357,0.312571
358,0.185034
359,0.257548
360,0.269924
361,0.357907
362,0.372690
363,0.328804
364,0.252892
365,0.313994
366,0.275470
367,0.289979
368,0.308293
369,0.290750
370,0.289452
371,0.286820
372,0.259368
373,0.282741
374,0.356655
375,0.346848
376,0.404954
377,0.370519
378,0.313124
379,0.379554
380,0.362169
381,0.287367
382,0.342059
383,0.279246
384,0.266365
385,0.330969
386,0.213739
387,0.328036
388,0.291527
389,0.262236
390,0.385571
391,0.287444
392,0.293497
393,0.297117
394,0.305025
395,0.298412
396,0.337668
397,0.281834
398,0.362351
399,0.274640
400,0.253663
401,0.238015
402,0.301241
403,0.243032
404,0.284696
405,0.313300
406,0.201842
407,0.333661
408,0.263996
409,0.315758
410,0.356747
411,0.233188
412,0.320920
413,0.389228
414,0.339901
415,0.246394
416,0.326577
417,0.354812
418,0.256662
419,0.353812
420,0.376120
421,0.288040
422,0.234969
423,0.333238
424,0.307949
425,0.303610
426,0.364237
427,0.307082
428,0.255276
429,0.240215
430,0.268546
431,0.298734
432,0.321551
433,0.317495
434,0.308010
435,0.274059
436,0.295388
437,0.259782
438,0.298512
439,0.296653
440,0.252566
441,0.216681
442,0.254673
443,0.308410
444,0.346417
445,0.238097
446,0.330726
447,0.241545
448,0.335489
449,0.255322
450,0.309488
451,0.234211
452,0.307494
453,0.299116
454,0.277668
455,0.208007
456,0.301904
457,0.319276
458,0.242928
459,0.303395
460,0.299358
461,0.299793
462,0.275656
463,0.242967
464,0.371321
465,0.288025
466,0.275872
467,0.309220
468,0.303931
469,0.252304
470,0.296522
471,0.341437
472,0.254197
473,0.257259
474,0.196673
475,0.217673
476,0.310983
477,0.285165
478,0.271997
479,0.263258
480,0.174223
481,0.312005
482,0.366280
483,0.253642
484,0.306776
485,0.375770
486,0.299524
487,0.266823
488,0.268529
489,0.306376
490,0.269184
491,0.278019
492,0.280024
493,0.347494
494,0.205792
495,0.253846
496,0.276868
497,0.325559
498,0.365453
499,0.291828
500,0.281244
501,0.255581
502,0.243527
503,0.357394
504,0.298278
505,0.291973
506,0.305503
507,0.211937
508,0.267444
509,0.353776
510,0.280543
511,0.314262
512,0.291836
513,0.286313
