Node,AverageAttackRate
0,0.002906
1,0.002978
2,0.003341
3,0.004186
4,0.005494
5,0.005558
6,0.005421
7,0.007242
8,0.006392
9,0.006494
10,0.007076
11,0.006743
12,0.006997
13,0.006904
14,0.006905
15,0.006189
16,0.005689
17,0.006830
18,0.008041
19,0.006204
20,0.006495
21,0.007168
22,0.007623
23,0.006701
24,0.007773
25,0.008045
26,0.006725
27,0.006744
28,0.008644
29,0.007352
30,0.007753
31,0.006800
32,0.008197
33,0.007085
34,0.006608
35,0.007258
36,0.008142
37,0.007291
38,0.006952
39,0.005930
40,0.008145
41,0.006942
42,0.006373
43,0.005696
44,0.006279
45,0.007761
46,0.006717
47,0.007811
48,0.006879
49,0.006290
50,0.006842
51,0.006082
52,0.007072
53,0.007263
54,0.006054
55,0.006660
56,0.006646
57,0.007286
58,0.006722
59,0.006638
60,0.006793
61,0.006749
62,0.007389
63,0.006779
64,0.006175
65,0.006689
66,0.007303
67,0.007334
68,0.006003
69,0.006616
70,0.006054
71,0.006827
72,0.006663
73,0.006134
74,0.006791
75,0.006746
76,0.007632
77,0.007348
78,0.006838
79,0.006274
80,0.006851
81,0.006869
82,0.006869
83,0.007715
84,0.006881
85,0.006301
86,0.007014
87,0.007722
88,0.007169
89,0.007143
90,0.006687
91,0.007959
92,0.007445
93,0.008013
94,0.007414
95,0.006843
96,0.008083
97,0.007402
98,0.007667
99,0.008130
100,0.006712
101,0.007455
102,0.007258
103,0.008102
104,0.005393
105,0.007000
106,0.007288
107,0.007848
108,0.006616
109,0.005884
110,0.007982
111,0.007215
112,0.007177
113,0.007488
114,0.007757
115,0.007490
116,0.007298
117,0.006901
118,0.005908
119,0.007147
120,0.007120
121,0.007669
122,0.007148
123,0.007091
124,0.007802
125,0.007365
126,0.007268
127,0.006478
128,0.007627
129,0.006407
130,0.007116
131,0.007538
132,0.007586
133,0.006304
134,0.006830
135,0.006944
136,0.006969
137,0.006319
138,0.006986
139,0.006216
140,0.008460
141,0.006967
142,0.007593
143,0.006711
144,0.007398
145,0.007659
146,0.005989
147,0.007332
148,0.007708
149,0.006662
150,0.007313
151,0.007926
152,0.007197
153,0.006949
154,0.007479
155,0.005659
156,0.006941
157,0.005727
158,0.007031
159,0.006473
160,0.007784
161,0.007466
162,0.008221
163,0.008290
164,0.007780
165,0.008488
166,0.009371
167,0.007937
168,0.008147
169,0.007414
170,0.008252
171,0.008279
172,0.008975
173,0.009050
174,0.008593
175,0.008799
176,0.008841
177,0.009552
178,0.009572
179,0.010199
180,0.009981
181,0.008664
182,0.009020
183,0.008220
184,0.008219
185,0.007120
186,0.006828
187,0.007404
188,0.007389
189,0.007246
190,0.007114
191,0.007067
192,0.007091
193,0.007182
194,0.007696
195,0.007224
196,0.006535
197,0.007171
198,0.007259
199,0.007190
200,0.007724
201,0.007091
202,0.007750
203,0.007189
204,0.007151
205,0.006698
206,0.007099
207,0.007031
208,0.007905
209,0.006712
210,0.007080
211,0.005586
212,0.007572
213,0.007091
