node,neighbors,degree
0,"1,2,3,4,5,6,7,8,10,11,13,14,15,16,19,20,21,23,24,27,28,32,33,38,40,46,50,54,55,56,60,62,63,66,67,73,76,77,79,81,89,99,100,102,111,112,113,115,143,156,166,189,191,195,199,203,214,215,227,236,237,241,247,254,256,263,281,298,303,304,318,326,331,342,345,356,374,394,395,396,411,412,419,438,439,481,504,506,520,527,542,554,587,613,630,635,637,652,685,705,706,726,732,745,749,761,769,821,833,848,856,863,881,895,896,922,930,931,939,944,967,983,994,999",124
1,"0,2,3,4,5,6,7,8,9,13,21,22,33,37,51,54,58,65,66,83,98,109,112,113,157,159,177,194,219,220,262,271,272,328,330,331,338,348,372,396,424,427,449,463,492,512,528,559,622,633,664,672,704,707,733,737,738,754,760,797,883,890,945,954,956,964,977",67
2,"0,1,3,4,5,10,11,13,19,20,24,26,29,34,39,54,58,60,69,96,104,116,134,140,152,175,192,204,216,228,242,251,264,270,308,315,319,324,362,369,376,378,379,388,391,392,534,536,568,587,618,640,650,653,704,723,753,754,774,793,802,817,824,871,878,892,902,911,933,936,955,997,999",73
3,"0,1,2,4,5,6,7,8,10,12,16,17,18,19,20,23,24,26,29,30,32,33,39,41,42,46,49,50,53,54,55,57,63,65,68,72,74,77,80,81,85,93,94,98,106,119,122,127,129,136,143,144,148,151,167,176,178,181,185,198,222,229,234,247,254,262,268,303,305,315,324,331,347,350,356,361,366,367,377,382,383,397,408,419,423,440,452,453,475,478,484,485,513,514,544,547,553,567,588,601,609,619,625,656,680,714,716,721,732,754,758,765,797,824,829,833,834,836,843,850,851,863,889,891,901,908,918,926,953,958,977,979,986",133
4,"0,1,2,3,5,6,7,8,9,10,11,13,14,15,16,25,26,28,29,31,35,37,42,44,77,79,80,81,83,89,92,96,99,107,111,114,134,140,159,161,162,164,166,168,170,171,177,180,196,197,199,200,205,223,226,227,230,232,240,260,263,277,281,286,287,290,299,324,349,376,381,398,401,402,404,413,423,434,444,448,464,489,508,511,539,541,545,550,560,566,665,673,680,683,705,709,744,776,777,778,779,787,814,815,816,817,831,840,845,850,877,886,919,940,991",115
5,"0,1,2,3,4,6,7,8,9,10,11,12,17,20,29,35,42,43,45,55,64,84,105,115,119,123,128,129,131,133,136,140,154,172,182,191,193,202,206,209,219,251,253,259,274,288,292,328,346,374,446,461,509,516,532,540,542,552,553,562,570,598,630,659,664,697,710,712,732,753,755,792,808,869,893,904,926,964,970,996,997,999",82
6,"0,1,3,4,5,43,52,67,69,90,155,158,170,171,176,380,464,533,709,712,859,926",22
7,"0,1,3,4,5,9,12,14,16,18,30,49,51,62,82,94,95,110,147,151,157,158,169,177,189,192,208,212,218,227,264,282,309,374,390,425,443,658,703,752,794,821,923,984",44
8,"0,1,3,4,5,9,11,12,14,15,18,27,31,35,44,52,59,96,103,118,121,128,138,142,144,173,287,289,295,306,327,333,375,426,465,514,636,645,674,702,709,767,771,773,840,847,891,901",48
9,"1,4,5,7,8,18,22,24,27,43,62,106,116,125,129,146,147,150,203,224,244,273,299,300,390,410,414,416,425,459,621,706,731,768,769,792,807,875,901,998",40
