node,neighbors,degree
0,"1,3,4,5,498",5
1,"0,2,3,4,5,6",6
2,"1,3,4,5,6,7",6
3,"0,1,2,4,5,6,7,8",8
4,"0,1,2,3,5,6,7,9,567,687",10
5,"0,1,2,3,4,7,8,9,10,761",10
6,"1,2,3,4,7,8,9,10,313",9
7,"2,3,4,5,6,8,9,10,11,12,124,478",12
8,"3,5,6,7,9,10,11,12,13,865",10
9,"4,5,6,7,8,10,11,12,13,14",10
10,"5,6,7,8,9,11,12,13,14,15,474",11
11,"7,8,9,10,13,14,15,16,77,657",10
12,"7,8,9,10,13,14,15,17,199,324",10
13,"8,9,10,11,12,14,16,17,18,363",10
14,"9,10,11,12,13,15,17,18,19,351",10
15,"10,11,12,14,16,17,18,19,20",9
16,"11,13,15,17,19,20,21,508",8
17,"12,13,14,15,16,18,19,20,21,22",10
18,"13,14,15,17,21,22,23,247,252,292,970",11
19,"14,15,16,17,20,21,22,23,24",9
20,"15,16,17,19,21,22,24,25,455",9
21,"16,17,18,19,20,22,23,24,25,669",10
22,"17,18,19,20,21,23,24,25,26,27,649",11
23,"18,19,21,22,24,25,26,27,28",9
24,"19,20,21,22,23,25,26,27,28,29,323",11
25,"20,21,22,23,24,26,28,29,30,564,968",11
26,"22,23,24,25,27,28,29,30,31",9
27,"22,23,24,26,28,29,30,31,32",9
28,"23,24,25,26,27,29,30,31,32,33,795,959",12
29,"24,25,26,27,28,30,31,32,33,34",10
30,"25,26,27,28,29,32,33,34,582,737",10
31,"26,27,28,29,32,34,35,36,354",9
32,"27,28,29,30,31,33,34,35,36,37,810",11
33,"28,29,30,32,35,36,37,38,173",9
34,"29,30,31,32,35,36,37,38,39",9
35,"31,32,33,34,36,37,38,39,40,221",10
36,"31,32,33,34,35,37,38,40,41,83,166",11
37,"32,33,34,35,36,38,40,41,428,656",10
38,"33,34,35,36,37,39,40,41,42,43",10
39,"34,35,38,40,41,42,44,925",8
40,"35,36,37,38,39,41,42,45,319,520,743",11
41,"36,37,38,39,40,42,43,44,45,46",10
42,"38,39,40,41,43,45,46,47,282",9
43,"38,41,42,44,45,46,47,48",8
44,"39,41,43,45,46,47,48,49,337",9
45,"40,41,42,43,44,46,47,48,50,329,728",11
46,"41,42,43,44,45,47,48,49,50,51",10
47,"42,43,44,45,46,49,50,492,618,730,897",11
48,"43,44,45,46,50,51,52,53,343,401",10
49,"44,46,47,50,51,52,53,54,124",9
50,"45,46,47,48,49,51,52,53,54,55",10
51,"46,48,49,50,52,53,54,55,56",9
52,"48,49,50,51,53,55,56,57,503,517",10
53,"48,49,50,51,52,54,55,56,57,58,347",11
54,"49,50,51,53,55,56,57,58,59",9
55,"50,51,52,53,54,56,57,58,59,60",10
56,"51,52,53,54,55,57,58,59,60,61",10
57,"52,53,54,55,56,58,59,60,61,62,782",11
58,"53,54,55,56,57,59,60,61,62,63",10
59,"54,55,56,57,58,60,61,62,63,64",10
60,"55,56,57,58,59,61,62,63,65,526",10
61,"56,57,58,59,60,62,63,64,65,66",10
62,"57,58,59,60,61,63,64,65,66,67,436",11
63,"58,59,60,61,62,64,65,66,68,285",10
64,"59,61,62,63,65,66,67,68,69",9
65,"60,61,62,63,64,66,67,68,69,70",10
66,"61,62,63,64,65,67,68,69,70,71,459",11
67,"62,64,65,66,69,72,125,265,303,852",10
68,"63,64,65,66,69,70,71,72,73",9
69,"64,65,66,67,68,70,71,72,73,74",10
70,"65,66,68,69,71,72,73,74,75",9
71,"66,68,69,70,73,74,75,76,380,515",10
72,"67,68,69,70,76,77,107,321,836",9
73,"68,69,70,71,74,75,76,77,78",9
74,"69,70,71,73,75,76,77,78,79,516",10
75,"70,71,73,74,76,77,78,79,80,763",10
76,"71,72,73,74,75,77,78,80,81,640,804",11
77,"11,72,73,74,75,76,78,79,80,81,82",11
78,"73,74,75,76,77,79,80,81,82,83",10
79,"74,75,77,78,80,81,82,83,84",9
80,"75,76,77,78,79,81,82,83,84,85",10
81,"76,77,78,79,80,82,83,84,85,86",10
82,"77,78,79,80,81,83,84,85,86,87",10
83,"36,78,79,80,81,82,84,86,87,88,277",11
84,"79,80,81,82,83,85,86,87,88,89",10
85,"80,81,82,84,86,87,88,89,90",9
86,"81,82,83,84,85,87,88,89,90,91",10
87,"82,83,84,85,86,88,89,90,91,92,301",11
88,"83,84,85,86,87,89,91,92,93,606",10
89,"84,85,86,87,88,90,91,92,93,94",10
90,"85,86,87,89,91,92,93,94,304",9
91,"86,87,88,89,90,92,93,94,95,96,646",11
92,"87,88,89,90,91,94,95,96,97,644",10
93,"88,89,90,91,94,95,96,97,98,231,932",11
94,"89,90,91,92,93,95,96,97,98,99",10
95,"91,92,93,94,96,97,98,99,100",9
96,"91,92,93,94,95,97,98,99,100,476,917",11
97,"92,93,94,95,96,98,99,100,101,102",10
98,"93,94,95,96,97,99,101,102,103,968",10
99,"94,95,96,97,98,100,101,102,103,386,967",11
100,"95,96,97,99,101,102,103,105,345",9
101,"97,98,99,100,102,103,104,106,182,360",10
102,"97,98,99,100,101,103,104,105,106,107",10
103,"98,99,100,101,102,105,106,107,108,870,930",11
104,"101,102,105,106,107,109,951",7
105,"100,102,103,104,106,107,108,109,110,570",10
106,"101,102,103,104,105,107,108,110,111,813",10
107,"72,102,103,104,105,106,108,110,111,112,502",11
108,"103,105,106,107,109,110,111,112,113",9
109,"104,105,108,110,111,112,114,797",8
110,"105,106,107,108,109,111,112,113,114,115,166",11
111,"106,107,108,109,110,112,113,114,115,116",10
112,"107,108,109,110,111,113,114,115,116,117",10
113,"108,110,111,112,114,116,117,118,746,915",10
114,"109,110,111,112,113,115,116,117,118,119,184",11
115,"110,111,112,114,116,117,119,120,600,796",10
116,"111,112,113,114,115,117,119,120,121,765",10
117,"112,113,114,115,116,118,119,120,121,999",10
118,"113,114,117,119,120,121,122,123",8
119,"114,115,116,117,118,120,121,122,123,124",10
120,"115,116,117,118,119,121,122,123,124,125",10
121,"116,117,118,119,120,122,123,124,125,126,209",11
122,"118,119,120,121,123,124,125,126,127,923",10
123,"118,119,120,121,122,124,125,126,127,128",10
124,"7,49,119,120,121,122,123,126,128,613,713",11
125,"67,120,121,122,123,126,128,129,130,489",10
126,"121,122,123,124,125,127,128,129,131,236",10
127,"122,123,126,128,129,130,131,132,717",9
128,"123,124,125,126,127,129,130,131,132,133,134",11
129,"125,126,127,128,130,131,132,133,134",9
130,"125,127,128,129,131,132,134,135,224,506",10
131,"126,127,128,129,130,132,133,134,135,136,911",11
132,"127,128,129,130,131,133,134,135,136,138,932",11
133,"128,129,131,132,134,135,136,137,138",9
134,"128,129,130,131,132,133,135,137,138,139",10
135,"130,131,132,133,134,136,137,138,139,140",10
136,"131,132,133,135,137,138,139,140,141,603",10
137,"133,134,135,136,138,139,140,141,142",9
138,"132,133,134,135,136,137,140,141,142,143",10
139,"134,135,136,137,140,141,142,144,999",9
140,"135,136,137,138,139,141,142,143,144,145,221,316",12
141,"136,137,138,139,140,142,143,144,145,146",10
142,"137,138,139,140,141,143,144,145,146,147,788",11
143,"138,140,141,142,144,145,147,148,515",9
144,"139,140,141,142,143,145,147,148,194,388",10
145,"140,141,142,143,144,146,147,148,149,150,222",11
146,"141,142,145,147,148,149,150,151",8
147,"142,143,144,145,146,148,149,150,151,942",10
148,"143,144,145,146,147,149,150,151,152,153,592",11
149,"145,146,147,148,150,151,153,154,726",9
150,"145,146,147,148,149,151,152,153,154,706",10
151,"146,147,148,149,150,152,153,154,156,244,408",11
152,"148,150,151,153,154,155,156,475,500,679",10
153,"148,149,150,151,152,154,155,156,157,158",10
154,"149,150,151,152,153,155,156,158,173,737",10
155,"152,153,154,156,157,158,159,160",8
156,"151,152,153,154,155,157,158,159,160,161",10
157,"153,155,156,158,159,160,161,162",8
158,"153,154,155,156,157,159,160,161,162,163",10
159,"155,156,157,158,160,161,162,163,164",9
160,"155,156,157,158,159,162,163,164,165,364,781",11
161,"156,157,158,159,162,163,164,165,166,429",10
162,"157,158,159,160,161,163,164,165,166,363,901",11
163,"158,159,160,161,162,164,165,166,167,168,779",11
164,"159,160,161,162,163,165,166,167,168,169",10
165,"160,161,162,163,164,166,167,168,169,170,433",11
166,"36,110,161,162,163,164,165,167,168,170,171,272",12
167,"163,164,165,166,168,169,170,171,172,757",10
168,"163,164,165,166,167,169,170,171,172,173",10
