Node,AverageAttackRate,Rank
3,0.996136,1
0,0.994505,2
4,0.990873,3
11,0.982717,4
5,0.971334,5
2,0.950286,6
1,0.940031,7
16,0.905888,8
17,0.904568,9
8,0.897672,10
7,0.889278,11
30,0.884623,12
24,0.869643,13
14,0.866242,14
34,0.864567,15
10,0.852595,16
18,0.847937,17
9,0.842191,18
39,0.833192,19
53,0.822587,20
29,0.819550,21
28,0.813907,22
52,0.802348,23
54,0.799869,24
33,0.785713,25
22,0.783902,26
20,0.776795,27
13,0.766863,28
12,0.766435,29
15,0.765949,30
94,0.747996,31
36,0.737346,32
40,0.735911,33
59,0.735594,34
87,0.727265,35
55,0.725618,36
26,0.718602,37
19,0.717279,38
21,0.715074,39
63,0.705961,40
42,0.701173,41
70,0.696863,42
38,0.696264,43
65,0.695511,44
6,0.691486,45
23,0.691270,46
81,0.689791,47
41,0.688284,48
51,0.684079,49
25,0.681555,50
62,0.681455,51
43,0.677243,52
85,0.667241,53
123,0.665037,54
58,0.662317,55
76,0.653608,56
46,0.651107,57
106,0.646650,58
27,0.644083,59
35,0.641231,60
44,0.640443,61
47,0.634883,62
48,0.624665,63
72,0.621250,64
32,0.620519,65
37,0.614837,66
64,0.604142,67
88,0.600715,68
107,0.594187,69
75,0.589475,70
86,0.587324,71
124,0.586003,72
68,0.585940,73
98,0.580337,74
80,0.571370,75
200,0.564226,76
91,0.551745,77
31,0.550441,78
83,0.550143,79
77,0.548173,80
69,0.546301,81
119,0.539877,82
93,0.533362,83
74,0.531783,84
89,0.531746,85
49,0.530912,86
61,0.529825,87
128,0.524667,88
60,0.522666,89
82,0.521051,90
146,0.520642,91
56,0.519670,92
71,0.516464,93
175,0.515348,94
140,0.513558,95
45,0.513077,96
79,0.510471,97
166,0.508079,98
129,0.506321,99
66,0.506248,100
121,0.506214,101
143,0.503247,102
125,0.503211,103
172,0.499913,104
153,0.494875,105
147,0.494374,106
149,0.491625,107
99,0.489126,108
90,0.485898,109
110,0.484564,110
95,0.484487,111
50,0.483313,112
101,0.481565,113
248,0.480957,114
84,0.478997,115
283,0.477840,116
115,0.477117,117
151,0.474274,118
194,0.474034,119
92,0.472950,120
113,0.472780,121
161,0.471465,122
132,0.470305,123
170,0.468842,124
78,0.466905,125
224,0.466730,126
222,0.466372,127
208,0.464916,128
141,0.463709,129
181,0.460769,130
171,0.460582,131
191,0.460401,132
202,0.460364,133
250,0.460027,134
131,0.459350,135
100,0.459344,136
104,0.457480,137
262,0.456694,138
105,0.455722,139
162,0.453277,140
214,0.452873,141
144,0.452711,142
188,0.451787,143
259,0.451622,144
112,0.450336,145
223,0.449878,146
263,0.449742,147
204,0.449583,148
145,0.448161,149
135,0.445580,150
199,0.443622,151
126,0.442386,152
114,0.441444,153
138,0.439348,154
73,0.437925,155
133,0.437568,156
136,0.434375,157
67,0.432913,158
150,0.431311,159
234,0.430572,160
116,0.430416,161
57,0.430397,162
243,0.429760,163
148,0.429039,164
159,0.428403,165
111,0.427410,166
182,0.426301,167
236,0.426234,168
156,0.425143,169
226,0.424721,170
127,0.424599,171
193,0.422160,172
192,0.421496,173
118,0.421439,174
251,0.419438,175
117,0.419158,176
225,0.417931,177
206,0.417388,178
134,0.415923,179
264,0.415464,180
219,0.414352,181
154,0.413825,182
331,0.412088,183
205,0.411347,184
302,0.411202,185
247,0.411189,186
184,0.409251,187
356,0.409153,188
97,0.408298,189
242,0.408018,190
240,0.407366,191
195,0.406145,192
196,0.405540,193
376,0.404954,194
120,0.404454,195
346,0.403525,196
189,0.403188,197
334,0.402579,198
256,0.401999,199
190,0.401269,200
348,0.401203,201
244,0.401016,202
157,0.399576,203
229,0.399260,204
351,0.398978,205
230,0.398967,206
108,0.398915,207
353,0.397584,208
272,0.397006,209
705,0.396813,210
257,0.394900,211
179,0.394425,212
155,0.393994,213
227,0.393440,214
96,0.392973,215
152,0.392906,216
164,0.391943,217
587,0.391759,218
269,0.390196,219
203,0.389265,220
413,0.389228,221
311,0.388923,222
218,0.388769,223
122,0.388558,224
169,0.388159,225
220,0.388079,226
630,0.388066,227
277,0.385687,228
390,0.385571,229
103,0.384857,230
163,0.384437,231
176,0.381924,232
260,0.380225,233
379,0.379554,234
355,0.378984,235
303,0.378914,236
167,0.377837,237
177,0.377800,238
324,0.377781,239
420,0.376120,240
180,0.376021,241
485,0.375770,242
201,0.375694,243
245,0.375322,244
282,0.375206,245
109,0.374488,246
318,0.373713,247
362,0.372690,248
187,0.371594,249
464,0.371321,250
328,0.370846,251
231,0.370827,252
281,0.370619,253
377,0.370519,254
186,0.368360,255
215,0.367474,256
158,0.366903,257
238,0.366356,258
482,0.366280,259
275,0.365834,260
498,0.365453,261
142,0.364964,262
426,0.364237,263
270,0.364202,264
165,0.364131,265
232,0.363469,266
398,0.362351,267
380,0.362169,268
139,0.362130,269
325,0.361854,270
246,0.361034,271
241,0.360242,272
361,0.357907,273
503,0.357394,274
309,0.357099,275
