Node,AverageAttackRate,Rank
969,0.010429,1
179,0.010199,2
309,0.010191,3
744,0.010179,4
746,0.010175,5
737,0.010134,6
328,0.010118,7
512,0.010115,8
735,0.010074,9
180,0.009981,10
805,0.009911,11
810,0.009770,12
738,0.009720,13
743,0.009706,14
422,0.009671,15
178,0.009572,16
733,0.009571,17
177,0.009552,18
742,0.009534,19
316,0.009495,20
951,0.009405,21
806,0.009377,22
166,0.009371,23
748,0.009364,24
413,0.009350,25
796,0.009336,26
415,0.009303,27
962,0.009283,28
503,0.009274,29
925,0.009226,30
313,0.009205,31
420,0.009128,32
421,0.009125,33
752,0.009106,34
173,0.009050,35
800,0.009048,36
799,0.009046,37
741,0.009031,38
803,0.009030,39
182,0.009020,40
739,0.009016,41
946,0.008994,42
493,0.008993,43
423,0.008979,44
172,0.008975,45
941,0.008956,46
419,0.008950,47
673,0.008911,48
811,0.008908,49
510,0.008902,50
753,0.008895,51
943,0.008882,52
928,0.008876,53
747,0.008856,54
644,0.008849,55
947,0.008841,56
176,0.008841,57
489,0.008841,58
892,0.008820,59
667,0.008810,60
924,0.008808,61
671,0.008803,62
509,0.008802,63
175,0.008799,64
927,0.008798,65
968,0.008791,66
736,0.008782,67
930,0.008778,68
730,0.008771,69
240,0.008764,70
965,0.008751,71
942,0.008747,72
492,0.008744,73
732,0.008743,74
508,0.008729,75
455,0.008710,76
318,0.008710,77
353,0.008677,78
948,0.008669,79
181,0.008664,80
981,0.008663,81
332,0.008652,82
28,0.008644,83
749,0.008642,84
687,0.008629,85
937,0.008610,86
801,0.008596,87
174,0.008593,88
454,0.008571,89
885,0.008571,90
513,0.008558,91
976,0.008547,92
266,0.008547,93
958,0.008546,94
706,0.008536,95
446,0.008525,96
319,0.008517,97
825,0.008510,98
974,0.008496,99
260,0.008493,100
674,0.008493,101
251,0.008492,102
165,0.008488,103
331,0.008481,104
750,0.008480,105
140,0.008460,106
672,0.008455,107
599,0.008449,108
582,0.008439,109
502,0.008417,110
261,0.008400,111
797,0.008396,112
669,0.008386,113
896,0.008381,114
247,0.008381,115
728,0.008373,116
321,0.008368,117
365,0.008360,118
417,0.008353,119
809,0.008339,120
751,0.008339,121
804,0.008335,122
676,0.008317,123
302,0.008315,124
324,0.008314,125
869,0.008312,126
300,0.008310,127
246,0.008307,128
241,0.008305,129
400,0.008299,130
425,0.008297,131
163,0.008290,132
298,0.008287,133
970,0.008282,134
410,0.008279,135
171,0.008279,136
265,0.008279,137
794,0.008275,138
731,0.008274,139
808,0.008271,140
966,0.008264,141
839,0.008255,142
740,0.008255,143
427,0.008252,144
170,0.008252,145
950,0.008247,146
244,0.008246,147
507,0.008236,148
842,0.008230,149
964,0.008228,150
929,0.008224,151
308,0.008223,152
162,0.008221,153
183,0.008220,154
416,0.008220,155
184,0.008219,156
926,0.008218,157
580,0.008205,158
255,0.008202,159
32,0.008197,160
755,0.008193,161
340,0.008191,162
424,0.008187,163
961,0.008186,164
335,0.008185,165
408,0.008179,166
829,0.008172,167
898,0.008170,168
857,0.008157,169
409,0.008155,170
168,0.008147,171
254,0.008146,172
40,0.008145,173
36,0.008142,174
295,0.008139,175
813,0.008135,176
361,0.008130,177
99,0.008130,178
980,0.008122,179
775,0.008120,180
932,0.008111,181
103,0.008102,182
395,0.008090,183
498,0.008087,184
931,0.008087,185
973,0.008083,186
96,0.008083,187
745,0.008066,188
971,0.008066,189
844,0.008050,190
959,0.008047,191
317,0.008045,192
25,0.008045,193
18,0.008041,194
915,0.008041,195
352,0.008032,196
303,0.008025,197
901,0.008022,198
918,0.008022,199
954,0.008021,200
366,0.008018,201
886,0.008014,202
93,0.008013,203
939,0.008002,204
852,0.007996,205
405,0.007996,206
940,0.007993,207
381,0.007992,208
837,0.007992,209
956,0.007989,210
556,0.007987,211
386,0.007984,212
552,0.007982,213
110,0.007982,214
598,0.007969,215
953,0.007965,216
91,0.007959,217
329,0.007952,218
555,0.007950,219
354,0.007943,220
897,0.007943,221
256,0.007942,222
167,0.007937,223
504,0.007936,224
393,0.007933,225
960,0.007930,226
151,0.007926,227
936,0.007925,228
734,0.007922,229
294,0.007922,230
923,0.007912,231
506,0.007910,232
208,0.007905,233
327,0.007900,234
836,0.007900,235
817,0.007898,236
922,0.007895,237
236,0.007891,238
935,0.007891,239
399,0.007891,240
315,0.007885,241
495,0.007885,242
934,0.007880,243
494,0.007878,244
952,0.007870,245
272,0.007870,246
418,0.007870,247
646,0.007864,248
583,0.007859,249
306,0.007858,250
594,0.007854,251
585,0.007852,252
481,0.007848,253
107,0.007848,254
557,0.007845,255
726,0.007843,256
388,0.007840,257
776,0.007839,258
729,0.007838,259
977,0.007833,260
861,0.007826,261
955,0.007825,262
304,0.007823,263
264,0.007823,264
491,0.007819,265
830,0.007819,266
690,0.007815,267
47,0.007811,268
252,0.007809,269
978,0.007804,270
307,0.007804,271
124,0.007802,272
426,0.007801,273
778,0.007797,274
975,0.007796,275
333,0.007789,276
262,0.007789,277
890,0.007788,278
384,0.007785,279
160,0.007784,280
164,0.007780,281
258,0.007780,282
863,0.007779,283
773,0.007779,284
277,0.007775,285
802,0.007775,286
24,0.007773,287
301,0.007768,288
754,0.007761,289
45,0.007761,290
921,0.007761,291
604,0.007757,292
114,0.007757,293
343,0.007754,294
549,0.007754,295
30,0.007753,296
202,0.007750,297
490,0.007749,298
334,0.007747,299
820,0.007739,300
983,0.007726,301
675,0.007726,302
279,0.007724,303
200,0.007724,304
807,0.007722,305
87,0.007722,306
243,0.007719,307
83,0.007715,308
501,0.007709,309
148,0.007708,310
245,0.007707,311
396,0.007705,312
194,0.007696,313
380,0.007686,314
259,0.007684,315
336,0.007683,316
904,0.007681,317
893,0.007673,318
297,0.007673,319
121,0.007669,320
903,0.007668,321
98,0.007667,322
292,0.007662,323
145,0.007659,324
248,0.007659,325
372,0.007658,326
761,0.007655,327
412,0.007653,328
693,0.007649,329
359,0.007649,330
895,0.007641,331
483,0.007637,332
325,0.007632,333
76,0.007632,334
357,0.007629,335
285,0.007628,336
128,0.007627,337
815,0.007626,338
496,0.007625,339
678,0.007623,340
22,0.007623,341
356,0.007614,342
967,0.007614,343
220,0.007612,344
841,0.007608,345
677,0.007606,346
668,0.007603,347
798,0.007603,348
337,0.007600,349
142,0.007593,350
891,0.007590,351
777,0.007586,352
132,0.007586,353
834,0.007574,354
212,0.007572,355
840,0.007569,356
296,0.007568,357
253,0.007565,358
838,0.007562,359
944,0.007551,360
270,0.007546,361
640,0.007545,362
450,0.007540,363
448,0.007539,364
131,0.007538,365
919,0.007537,366
269,0.007537,367
781,0.007533,368
440,0.007523,369
338,0.007523,370
860,0.007519,371
816,0.007519,372
363,0.007518,373
889,0.007518,374
360,0.007514,375
358,0.007512,376
221,0.007508,377
617,0.007506,378
843,0.007505,379
274,0.007505,380
268,0.007502,381
546,0.007502,382
487,0.007501,383
355,0.007491,384
115,0.007490,385
765,0.007490,386
113,0.007488,387
887,0.007487,388
339,0.007485,389
518,0.007483,390
154,0.007479,391
867,0.007476,392
575,0.007473,393
238,0.007473,394
727,0.007471,395
475,0.007469,396
312,0.007469,397
161,0.007466,398
414,0.007464,399
451,0.007463,400
517,0.007458,401
101,0.007455,402
945,0.007450,403
217,0.007450,404
362,0.007449,405
883,0.007445,406
92,0.007445,407
499,0.007435,408
917,0.007429,409
647,0.007421,410
701,0.007421,411
169,0.007414,412
516,0.007414,413
94,0.007414,414
398,0.007406,415
187,0.007404,416
97,0.007402,417
144,0.007398,418
828,0.007396,419
449,0.007391,420
62,0.007389,421
342,0.007389,422
188,0.007389,423
848,0.007388,424
795,0.007386,425
219,0.007383,426
452,0.007382,427
402,0.007381,428
791,0.007379,429
709,0.007377,430
271,0.007367,431
682,0.007367,432
125,0.007365,433
488,0.007353,434
29,0.007352,435
404,0.007348,436
77,0.007348,437
276,0.007346,438
938,0.007346,439
847,0.007340,440
949,0.007340,441
391,0.007338,442
845,0.007338,443
67,0.007334,444
147,0.007332,445
856,0.007326,446
759,0.007323,447
609,0.007321,448
879,0.007315,449
486,0.007315,450
905,0.007313,451
150,0.007313,452
933,0.007311,453
846,0.007305,454
66,0.007303,455
688,0.007302,456
116,0.007298,457
390,0.007297,458
866,0.007293,459
581,0.007292,460
694,0.007291,461
37,0.007291,462
311,0.007289,463
106,0.007288,464
57,0.007286,465
625,0.007285,466
551,0.007285,467
497,0.007284,468
957,0.007284,469
855,0.007283,470
827,0.007279,471
505,0.007273,472
859,0.007273,473
553,0.007271,474
916,0.007271,475
351,0.007271,476
330,0.007271,477
394,0.007271,478
126,0.007268,479
864,0.007264,480
858,0.007263,481
53,0.007263,482
429,0.007262,483
310,0.007262,484
198,0.007259,485
102,0.007258,486
35,0.007258,487
323,0.007256,488
850,0.007255,489
758,0.007255,490
385,0.007249,491
793,0.007248,492
189,0.007246,493
982,0.007246,494
600,0.007243,495
7,0.007242,496
713,0.007242,497
392,0.007237,498
689,0.007237,499
565,0.007232,500
195,0.007224,501
623,0.007223,502
612,0.007222,503
597,0.007221,504
920,0.007219,505
578,0.007218,506
985,0.007217,507
278,0.007216,508
111,0.007215,509
465,0.007215,510
293,0.007206,511
685,0.007200,512
881,0.007200,513
152,0.007197,514
686,0.007193,515
199,0.007190,516
203,0.007189,517
237,0.007187,518
447,0.007186,519
193,0.007182,520
824,0.007182,521
344,0.007178,522
112,0.007177,523
823,0.007172,524
197,0.007171,525
88,0.007169,526
911,0.007168,527
21,0.007168,528
894,0.007167,529
854,0.007164,530
681,0.007162,531
851,0.007161,532
902,0.007157,533
476,0.007154,534
204,0.007151,535
812,0.007149,536
122,0.007148,537
119,0.007147,538
876,0.007146,539
348,0.007144,540
89,0.007143,541
480,0.007143,542
387,0.007142,543
882,0.007139,544
558,0.007136,545
376,0.007135,546
500,0.007133,547
853,0.007132,548
670,0.007130,549
691,0.007130,550
705,0.007126,551
913,0.007125,552
299,0.007125,553
868,0.007124,554
242,0.007122,555
684,0.007122,556
703,0.007121,557
371,0.007121,558
185,0.007120,559
120,0.007120,560
457,0.007118,561
595,0.007116,562
130,0.007116,563
190,0.007114,564
602,0.007112,565
250,0.007110,566
280,0.007110,567
814,0.007109,568
660,0.007109,569
665,0.007108,570
320,0.007107,571
568,0.007107,572
637,0.007107,573
906,0.007107,574
263,0.007100,575
206,0.007099,576
445,0.007095,577
411,0.007094,578
192,0.007091,579
213,0.007091,580
123,0.007091,581
201,0.007091,582
33,0.007085,583
472,0.007085,584
760,0.007083,585
822,0.007082,586
210,0.007080,587
347,0.007080,588
10,0.007076,589
870,0.007074,590
584,0.007073,591
789,0.007073,592
664,0.007072,593
52,0.007072,594
459,0.007070,595
191,0.007067,596
249,0.007060,597
783,0.007058,598
538,0.007057,599
453,0.007055,600
627,0.007051,601
577,0.007051,602
382,0.007037,603
628,0.007036,604
790,0.007032,605
158,0.007031,606
561,0.007031,607
207,0.007031,608
908,0.007016,609
520,0.007014,610
86,0.007014,611
643,0.007011,612
478,0.007010,613
235,0.007006,614
105,0.007000,615
12,0.006997,616
534,0.006996,617
979,0.006996,618
912,0.006994,619
547,0.006987,620
725,0.006986,621
138,0.006986,622
764,0.006984,623
586,0.006982,624
370,0.006982,625
444,0.006980,626
711,0.006978,627
880,0.006973,628
910,0.006970,629
136,0.006969,630
141,0.006967,631
562,0.006966,632
788,0.006965,633
871,0.006961,634
38,0.006952,635
526,0.006952,636
153,0.006949,637
135,0.006944,638
41,0.006942,639
156,0.006941,640
626,0.006940,641
762,0.006939,642
443,0.006934,643
479,0.006933,644
645,0.006933,645
909,0.006932,646
375,0.006929,647
283,0.006920,648
267,0.006919,649
514,0.006917,650
648,0.006915,651
563,0.006912,652
543,0.006909,653
461,0.006909,654
832,0.006905,655
14,0.006905,656
13,0.006904,657
291,0.006902,658
273,0.006902,659
117,0.006901,660
284,0.006900,661
767,0.006899,662
702,0.006896,663
215,0.006896,664
772,0.006890,665
756,0.006887,666
473,0.006884,667
239,0.006884,668
519,0.006882,669
622,0.006881,670
84,0.006881,671
48,0.006879,672
638,0.006878,673
639,0.006874,674
82,0.006869,675
81,0.006869,676
460,0.006868,677
963,0.006861,678
680,0.006854,679
80,0.006851,680
576,0.006849,681
831,0.006848,682
656,0.006847,683
888,0.006844,684
95,0.006843,685
50,0.006842,686
231,0.006841,687
636,0.006840,688
78,0.006838,689
407,0.006837,690
17,0.006830,691
134,0.006830,692
186,0.006828,693
71,0.006827,694
572,0.006811,695
718,0.006809,696
234,0.006807,697
792,0.006806,698
698,0.006804,699
590,0.006802,700
873,0.006802,701
560,0.006801,702
31,0.006800,703
695,0.006798,704
878,0.006794,705
60,0.006793,706
786,0.006792,707
74,0.006791,708
364,0.006789,709
592,0.006787,710
616,0.006783,711
63,0.006779,712
591,0.006778,713
635,0.006776,714
431,0.006775,715
679,0.006774,716
397,0.006772,717
603,0.006769,718
515,0.006763,719
771,0.006762,720
614,0.006761,721
707,0.006759,722
218,0.006753,723
601,0.006751,724
770,0.006749,725
61,0.006749,726
697,0.006748,727
75,0.006746,728
661,0.006745,729
433,0.006744,730
27,0.006744,731
11,0.006743,732
835,0.006743,733
724,0.006741,734
282,0.006740,735
899,0.006738,736
485,0.006737,737
373,0.006734,738
630,0.006728,739
26,0.006725,740
438,0.006724,741
58,0.006722,742
403,0.006720,743
46,0.006717,744
763,0.006717,745
209,0.006712,746
100,0.006712,747
143,0.006711,748
458,0.006711,749
631,0.006708,750
23,0.006701,751
205,0.006698,752
511,0.006696,753
632,0.006692,754
666,0.006690,755
65,0.006689,756
544,0.006687,757
90,0.006687,758
715,0.006685,759
700,0.006683,760
554,0.006680,761
633,0.006675,762
723,0.006675,763
484,0.006669,764
884,0.006667,765
72,0.006663,766
149,0.006662,767
55,0.006660,768
826,0.006658,769
634,0.006655,770
539,0.006652,771
401,0.006650,772
349,0.006647,773
468,0.006647,774
56,0.006646,775
521,0.006645,776
286,0.006643,777
849,0.006639,778
59,0.006638,779
314,0.006638,780
570,0.006635,781
389,0.006633,782
432,0.006630,783
305,0.006627,784
350,0.006622,785
865,0.006618,786
108,0.006616,787
579,0.006616,788
69,0.006616,789
341,0.006615,790
436,0.006613,791
659,0.006612,792
470,0.006612,793
683,0.006608,794
34,0.006608,795
620,0.006604,796
281,0.006603,797
464,0.006600,798
862,0.006596,799
914,0.006590,800
712,0.006582,801
593,0.006579,802
548,0.006575,803
428,0.006569,804
550,0.006561,805
275,0.006559,806
537,0.006555,807
226,0.006552,808
972,0.006549,809
559,0.006538,810
196,0.006535,811
722,0.006534,812
714,0.006533,813
224,0.006532,814
367,0.006530,815
477,0.006530,816
456,0.006530,817
326,0.006520,818
717,0.006517,819
383,0.006516,820
779,0.006510,821
430,0.006506,822
652,0.006505,823
818,0.006504,824
692,0.006504,825
233,0.006503,826
819,0.006498,827
20,0.006495,828
9,0.006494,829
821,0.006493,830
608,0.006492,831
435,0.006491,832
872,0.006484,833
524,0.006483,834
127,0.006478,835
564,0.006475,836
159,0.006473,837
228,0.006473,838
618,0.006467,839
471,0.006462,840
540,0.006455,841
642,0.006450,842
368,0.006438,843
907,0.006435,844
987,0.006421,845
536,0.006418,846
774,0.006417,847
785,0.006415,848
289,0.006415,849
369,0.006412,850
657,0.006411,851
227,0.006409,852
129,0.006407,853
290,0.006401,854
467,0.006395,855
721,0.006394,856
8,0.006392,857
833,0.006382,858
379,0.006381,859
535,0.006378,860
230,0.006373,861
42,0.006373,862
649,0.006360,863
650,0.006355,864
704,0.006350,865
229,0.006342,866
588,0.006340,867
346,0.006340,868
345,0.006322,869
442,0.006322,870
137,0.006319,871
654,0.006317,872
378,0.006308,873
533,0.006308,874
133,0.006304,875
85,0.006301,876
708,0.006295,877
49,0.006290,878
874,0.006287,879
257,0.006287,880
663,0.006281,881
44,0.006279,882
573,0.006274,883
79,0.006274,884
377,0.006273,885
531,0.006265,886
613,0.006263,887
782,0.006244,888
322,0.006242,889
441,0.006228,890
529,0.006227,891
532,0.006225,892
139,0.006216,893
19,0.006204,894
787,0.006204,895
574,0.006202,896
569,0.006199,897
653,0.006195,898
223,0.006193,899
15,0.006189,900
696,0.006176,901
406,0.006175,902
64,0.006175,903
875,0.006170,904
606,0.006154,905
662,0.006153,906
621,0.006152,907
877,0.006146,908
589,0.006142,909
232,0.006135,910
73,0.006134,911
288,0.006121,912
474,0.006120,913
545,0.006116,914
629,0.006110,915
651,0.006108,916
528,0.006101,917
699,0.006100,918
51,0.006082,919
542,0.006077,920
766,0.006077,921
70,0.006054,922
54,0.006054,923
757,0.006054,924
527,0.006053,925
624,0.006050,926
610,0.006048,927
439,0.006047,928
784,0.006039,929
374,0.006030,930
541,0.006025,931
68,0.006003,932
469,0.005995,933
146,0.005989,934
567,0.005984,935
462,0.005982,936
437,0.005968,937
615,0.005931,938
39,0.005930,939
988,0.005930,940
571,0.005930,941
596,0.005924,942
118,0.005908,943
655,0.005889,944
109,0.005884,945
611,0.005841,946
482,0.005803,947
214,0.005802,948
716,0.005800,949
466,0.005792,950
216,0.005792,951
984,0.005765,952
719,0.005739,953
157,0.005727,954
710,0.005708,955
43,0.005696,956
16,0.005689,957
780,0.005670,958
155,0.005659,959
525,0.005646,960
587,0.005639,961
530,0.005639,962
986,0.005614,963
607,0.005593,964
211,0.005586,965
5,0.005558,966
522,0.005539,967
768,0.005538,968
222,0.005522,969
287,0.005519,970
4,0.005494,971
619,0.005459,972
566,0.005451,973
769,0.005449,974
6,0.005421,975
104,0.005393,976
989,0.005386,977
463,0.005384,978
900,0.005368,979
523,0.005363,980
993,0.005360,981
434,0.005317,982
658,0.005298,983
641,0.005251,984
605,0.005164,985
991,0.005124,986
992,0.004938,987
994,0.004905,988
720,0.004631,989
225,0.004608,990
3,0.004186,991
999,0.004038,992
995,0.003955,993
990,0.003825,994
2,0.003341,995
997,0.003272,996
996,0.003176,997
1,0.002978,998
0,0.002906,999
998,0.001866,1000
