Node,AverageAttackRate
0,0.041422
1,0.026237
2,0.023323
3,0.046018
4,0.020492
5,0.026211
6,0.026318
7,0.031091
8,0.040227
9,0.046042
10,0.029939
11,0.029439
12,0.012465
13,0.024377
14,0.027716
15,0.032607
16,0.021217
17,0.028377
18,0.013571
19,0.032879
20,0.012365
21,0.019999
22,0.036977
23,0.019340
24,0.027886
25,0.039666
26,0.024543
27,0.038251
28,0.025084
29,0.040559
30,0.024627
31,0.030606
32,0.024001
33,0.060612
34,0.038268
35,0.023858
36,0.027363
37,0.038359
38,0.022805
39,0.029225
40,0.030417
41,0.012543
42,0.055552
43,0.019463
44,0.028505
45,0.029466
46,0.032494
47,0.037740
48,0.025702
49,0.032161
50,0.032883
51,0.049984
52,0.019513
53,0.026810
54,0.033652
55,0.019293
56,0.040713
57,0.033056
58,0.046242
59,0.023009
60,0.025861
61,0.026106
62,0.020392
63,0.033806
64,0.037335
65,0.030953
66,0.013833
67,0.042668
68,0.040083
69,0.024132
70,0.053684
71,0.037822
72,0.023320
73,0.039653
74,0.034383
75,0.032776
76,0.035381
77,0.045390
78,0.032416
79,0.032507
80,0.026158
81,0.029212
82,0.021455
83,0.025060
84,0.036297
85,0.059512
86,0.045575
87,0.035467
88,0.020735
89,0.021914
90,0.043216
91,0.029244
92,0.024908
93,0.036124
94,0.029075
95,0.035880
96,0.038408
97,0.026756
98,0.035720
99,0.023672
100,0.024639
101,0.041630
102,0.036328
103,0.019130
104,0.028901
105,0.038088
106,0.010846
107,0.032381
108,0.031102
109,0.019816
110,0.037191
111,0.017869
112,0.030807
113,0.043226
114,0.018011
115,0.023290
116,0.029290
117,0.025341
118,0.034794
119,0.047385
120,0.036518
121,0.036651
122,0.025175
123,0.024002
124,0.025566
125,0.031298
126,0.020533
127,0.034217
128,0.030228
129,0.036391
130,0.025554
131,0.021496
132,0.015802
133,0.031914
134,0.023779
135,0.032947
136,0.024785
137,0.028873
138,0.028195
139,0.043240
140,0.033668
141,0.033052
142,0.024603
143,0.041379
144,0.029035
145,0.041415
146,0.032767
147,0.036440
148,0.019304
149,0.024050
150,0.031140
151,0.042283
152,0.038128
153,0.046463
154,0.039565
155,0.033783
156,0.030159
157,0.038054
158,0.012787
159,0.045216
160,0.034708
161,0.034157
162,0.017843
163,0.036763
164,0.037851
165,0.017643
166,0.018803
167,0.035319
168,0.032100
169,0.025640
170,0.017892
171,0.036412
172,0.027347
173,0.017599
174,0.023027
175,0.037328
176,0.031739
177,0.046389
178,0.008821
179,0.022494
180,0.013225
181,0.042514
182,0.031251
183,0.035060
184,0.026683
185,0.031239
186,0.035354
187,0.020411
188,0.028967
189,0.038833
190,0.030342
191,0.030510
192,0.026546
193,0.026928
194,0.024264
195,0.035781
196,0.028374
197,0.032278
198,0.015270
199,0.024233
200,0.032568
201,0.023616
202,0.033724
203,0.024419
204,0.031198
205,0.028241
206,0.066432
207,0.021108
208,0.018610
209,0.033285
210,0.026991
211,0.019768
212,0.043133
213,0.030992
214,0.025243
215,0.014371
216,0.033079
217,0.029492
218,0.027778
219,0.035240
220,0.036037
221,0.048646
222,0.030297
223,0.026290
224,0.026514
225,0.042297
226,0.033996
227,0.049634
228,0.018803
229,0.027148
230,0.019645
231,0.010411
232,0.048129
233,0.023102
234,0.026358
235,0.011180
236,0.051860
237,0.019160
238,0.045334
239,0.037457
240,0.019721
241,0.023492
242,0.026871
243,0.017177
244,0.031227
245,0.023361
246,0.021609
247,0.046722
248,0.036061
249,0.027253
250,0.040360
251,0.039026
252,0.027447
253,0.032660
254,0.030697
255,0.021299
256,0.046594
257,0.036599
258,0.023977
259,0.029038
260,0.045550
261,0.024089
262,0.027767
263,0.047891
264,0.032030
265,0.025214
266,0.017688
267,0.034393
268,0.031151
269,0.031587
270,0.028022
271,0.034593
272,0.053514
273,0.039210
274,0.016610
275,0.025207
276,0.035723
277,0.033237
278,0.049748
279,0.042216
280,0.032127
281,0.043455
282,0.014456
283,0.039674
284,0.038148
285,0.022877
286,0.036167
287,0.043838
288,0.023576
289,0.034111
290,0.018081
291,0.045712
292,0.043920
293,0.027633
294,0.021697
295,0.019658
296,0.030261
297,0.030885
298,0.033062
299,0.022776
300,0.043186
301,0.029143
302,0.036491
303,0.029609
304,0.024355
305,0.039604
306,0.031911
307,0.013476
308,0.027114
309,0.031878
310,0.038042
311,0.034497
312,0.031158
313,0.029795
314,0.032571
315,0.047355
316,0.035219
317,0.022772
318,0.031815
319,0.038257
320,0.047269
321,0.023168
322,0.023554
323,0.040525
324,0.024864
325,0.030823
326,0.037119
327,0.023697
328,0.040729
329,0.023715
330,0.030091
331,0.039826
332,0.022987
333,0.061544
334,0.044554
335,0.031185
336,0.030121
337,0.031979
338,0.015047
339,0.028471
340,0.045128
341,0.028763
342,0.029537
343,0.021618
344,0.031277
345,0.030579
346,0.008232
347,0.045583
348,0.032271
349,0.023061
350,0.035272
351,0.023049
352,0.015099
353,0.046138
354,0.019789
355,0.041771
356,0.026818
357,0.024570
358,0.030478
359,0.023320
360,0.027125
361,0.018081
362,0.026050
363,0.018005
364,0.039848
365,0.038674
366,0.033316
367,0.040311
368,0.041562
369,0.033958
370,0.030490
371,0.028772
372,0.014360
373,0.024273
374,0.042299
375,0.027372
376,0.026130
377,0.038902
378,0.039237
379,0.036371
380,0.037946
381,0.040185
382,0.016611
383,0.020120
384,0.029589
385,0.035765
386,0.028636
387,0.027384
388,0.048449
389,0.015181
390,0.020392
391,0.038457
392,0.039093
393,0.028306
394,0.023822
395,0.019988
396,0.027275
397,0.038310
398,0.030836
399,0.022453
400,0.026522
401,0.024674
402,0.047516
403,0.019088
404,0.023557
405,0.030773
406,0.031766
407,0.033576
408,0.025974
409,0.043075
410,0.053733
411,0.041693
412,0.031590
413,0.030810
414,0.037054
415,0.033556
416,0.027703
417,0.009933
418,0.038252
419,0.024226
420,0.040555
421,0.045835
422,0.038480
423,0.024574
424,0.024906
425,0.025588
426,0.021304
427,0.018060
428,0.024418
429,0.029974
430,0.040116
431,0.023228
432,0.019526
433,0.014362
434,0.024453
435,0.032724
436,0.032193
437,0.028344
438,0.027703
439,0.036055
440,0.032543
441,0.023874
442,0.034737
443,0.031421
444,0.031860
445,0.041187
446,0.028750
447,0.026224
448,0.023543
