Node,AverageAttackRate
0,0.009277
1,0.009268
2,0.009278
3,0.009278
4,0.009273
5,0.009278
6,0.009273
7,0.009278
8,0.009277
9,0.009269
10,0.009278
11,0.009275
12,0.009278
13,0.009273
14,0.009273
15,0.009276
16,0.009274
17,0.009276
18,0.009274
19,0.009277
20,0.009272
21,0.009272
22,0.009278
23,0.009274
24,0.009277
25,0.009273
26,0.009273
27,0.009270
28,0.009278
29,0.009277
30,0.009277
31,0.009274
32,0.009268
33,0.009275
34,0.009276
35,0.009266
36,0.009274
37,0.009276
38,0.009275
39,0.009276
40,0.009278
41,0.009277
42,0.009273
43,0.009270
44,0.009273
45,0.009276
46,0.009277
47,0.009275
48,0.009272
49,0.009278
50,0.009274
51,0.009277
52,0.009279
53,0.009277
54,0.009269
55,0.009276
56,0.009271
57,0.009277
58,0.009276
59,0.009276
60,0.009277
61,0.009276
62,0.009275
63,0.009276
64,0.009278
65,0.009276
66,0.009278
67,0.009279
68,0.009279
69,0.009277
70,0.009273
71,0.009277
72,0.009273
73,0.009271
74,0.009277
75,0.009271
76,0.009271
77,0.009278
78,0.009278
79,0.009280
80,0.009276
81,0.009278
82,0.009277
83,0.009276
84,0.009279
85,0.009277
86,0.009274
87,0.009278
88,0.009276
89,0.009269
90,0.009277
91,0.009273
92,0.009275
93,0.009270
94,0.009280
95,0.009277
96,0.009272
97,0.009276
98,0.009278
99,0.009276
100,0.009275
101,0.009278
102,0.009279
103,0.009269
104,0.009276
105,0.009277
106,0.009277
107,0.009277
108,0.009264
109,0.009275
110,0.009275
111,0.009278
112,0.009278
113,0.009279
114,0.009279
115,0.009273
116,0.009278
117,0.009277
118,0.009277
119,0.009279
120,0.009278
121,0.009279
122,0.009277
123,0.009278
124,0.009275
125,0.009270
126,0.009270
127,0.009278
128,0.009277
129,0.009277
130,0.009277
131,0.009275
132,0.009274
133,0.009279
134,0.009276
135,0.009277
136,0.009276
137,0.009276
138,0.009275
139,0.009279
140,0.009277
141,0.009275
142,0.009268
143,0.009276
144,0.009277
145,0.009273
146,0.009279
147,0.009278
148,0.009278
149,0.009274
150,0.009277
151,0.009271
152,0.009278
153,0.009276
154,0.009278
155,0.009271
156,0.009273
157,0.009275
158,0.009274
159,0.009276
160,0.009276
161,0.009274
162,0.009272
163,0.009277
164,0.009273
165,0.009277
166,0.009278
167,0.009276
168,0.009277
169,0.009271
170,0.009274
171,0.009273
172,0.009274
173,0.009275
174,0.009278
175,0.009278
176,0.009276
177,0.009278
178,0.009275
179,0.009269
180,0.009268
181,0.009277
182,0.009277
183,0.009277
184,0.009275
185,0.009277
186,0.009276
187,0.009272
188,0.009275
189,0.009276
190,0.009278
191,0.009277
192,0.009277
193,0.009279
194,0.009277
195,0.009276
196,0.009279
197,0.009276
198,0.009273
199,0.009279
200,0.009277
201,0.009277
202,0.009276
203,0.009278
204,0.009275
205,0.009277
206,0.009271
207,0.009277
208,0.009277
209,0.009278
210,0.009276
211,0.009279
212,0.009278
213,0.009277
214,0.009272
215,0.009273
216,0.009277
217,0.009277
218,0.009272
219,0.009276
220,0.009276
221,0.009276
222,0.009276
223,0.009267
224,0.009268
225,0.009276
226,0.009278
227,0.009277
228,0.009277
229,0.009278
230,0.009278
231,0.009266
232,0.009275
233,0.009272
234,0.009277
235,0.009277
236,0.009276
237,0.009275
238,0.009267
239,0.009279
240,0.009275
241,0.009278
242,0.009274
243,0.009280
244,0.009274
245,0.009279
246,0.009278
247,0.009272
248,0.009276
249,0.009271
250,0.009278
251,0.009276
252,0.009276
253,0.009272
254,0.009275
255,0.009278
256,0.009273
257,0.009273
258,0.009272
259,0.009278
260,0.009273
261,0.009278
262,0.009278
263,0.009272
264,0.009276
265,0.009267
266,0.009274
267,0.009279
268,0.009280
269,0.009269
270,0.009277
271,0.009278
272,0.009278
273,0.009275
