node,neighbors,degree
0,"45,101,160,181,280,345,376,410,458,601,629,843,855",13
1,"19,183,333,441,458,550,562,929",8
2,"10,197,325,347,602,641,738",7
3,"219,221,328,370,434,549,555,565,619,732,764,801,929,966",14
4,"71,306,518,586,657,734,844",7
5,"15,38,175,199,250,370,506,684,901",9
6,"27,337,352,541,631,641,828,886",8
7,"78,113,153,459,533,601,622,883,918,936,937",11
8,"51,104,140,194,404,579,639,715,842,954,966",11
9,"36,67,97,101,127,402,445,509,696,784,813,839,905,951",14
10,"2,16,111,113,264,292,485,590,594,640",10
11,"23,155,290,300,326,652,685,699,794,902,904",11
12,"277,645,820,932",4
13,"53,226,391,578,620,883,957",7
14,"27,77,117,161,319,343,519,607,812",9
15,"5,112,217,420,511,650,697,803,979,991",10
16,"10,300,504,638,833,888,947",7
17,"220,242,246,377,501,553,617,762,791,823",10
18,"542,616,655,787,853",5
19,"1,100,118,195,232,436,549,638,777,959",10
20,"91,494,695,918",4
21,"143,290,392,626,868,900,995",7
22,"77,78,157,526,724,748,750,829,925,928",10
23,"11,362,436,496,505,506,726",7
24,"110,116,189,339,423,434,481,482,557,971",10
25,"123,130,214,339,583,585,693,723,772,817,840,873,962",13
26,"52,99,230,247,378,439,801,921",8
27,"6,14,86,236,260,286,467,548,628,736,931",11
28,"98,148,286,300,315,321,610,704",8
29,"98,196,405,497,606,807,812,874,944,976,984",11
30,"37,94,422,566,593,675,835",7
31,"48,92,133,321,366,407,541,638,714,935,937",11
32,"139,195,379,393,703,780,879,915",8
33,"51,67,167,181,186,203,236,242,391,466,512,544,773,836,840,888,933,941,942",19
34,"41,44,177,231,320,379,445,486,536,563,618,620,832",13
35,"48,141,200,322,382,519,711,843,928",9
36,"9,52,168,273,408,566,716,914,927",9
37,"30,87,101,283,418,561,640,685,732,786,987",11
38,"5,62,112,371,709,785,859",7
39,"44,373,410,571,577,792,877,945,946",9
40,"76,93,271,281,286,322,364,422,887",9
41,"34,191,443,718",4
42,"68,87,214,220,268,280,340,400,552,566,635,655,761,793,823,840,906,977",18
43,"392,455,683,696,698",5
44,"34,39,195,323,350,356,414,777,902",9
45,"0,199,200,217,222,251,302,341,700,934",10
46,"79,148,175,201,250,386,521,536,557,798,993",11
47,"141,234,323,368,401,715,779,788,908,934,966,985",12
48,"31,35,300,403,545,713,763,836,896,972",10
49,"51,186,215,459,541,607,789,950,964,992",10
50,"323,393,545,670,696,715,868,902,960,985",10
51,"8,33,49,110,232,289,304,366,421,535,601,723,737,790,797",15
52,"26,36,138,359,606,923,987",7
53,"13,109,214,234,493,600,811,834,928",9
54,"55,171,326,334,398,507,594,642,765,814",10
55,"54,158,492,591,604,799,979",7
56,"146,174,369,380,410,418,450,458,514,598,773,811",12
57,"81,157,179,238,241,398,477,535,627,860,861",11
58,"96,228,312,326,353,369,442,466,584,620,686,715,950,957",14
59,"125,247,344,379,389,504,665",7
60,"336,431,498,518,519,547,569,579,934",9
61,"152,224,311,399,462,508,675,677,781",9
62,"38,163,309,357,447,540,936",7
63,"320,500,605,728,738,741,794,797,892,959",10
64,"91,100,188,198,435,441,549,554,745,834,876,962",12
65,"69,151,226,233,348,736,741,786,791,923",10
66,"269,328,611,872",4
67,"9,33,156,271,327,532,636,711,733,752,793,828,839",13
68,"42,77,185,253,272,319,357,513,715,716,817",11
69,"65,254,318,341,526,736,784",7
70,"163,168,220,256,447,462,479,487,525,612,665,749,816,824,987",15
71,"4,93,305,316,337,444,502,544,581,634,737,772,929",13
72,"84,262,399,815,860,898,957",7
73,"96,294,297,326,356,407,534,615,737,749,966,994",12
74,"87,131,313,462,521,590,706,807,839,966",10
75,"86,438,450,510,585,641,660,969,987",9
76,"40,110,146,160,213,217,245,264,486,489,521,946",12
77,"14,22,68,257,370,371,544,561,685,720,800,855,886,950",14
78,"7,22,138,530,669,707,714,958,985,988",10
79,"46,103,256,269,334,457,461,550,740,771,868,886",12
80,"112,282,476,526,548,914,969,970",8
81,"57,119,225,487,710,763,859,927",8
82,"101,129,156,366,625,776",6
83,"177,200,233,255,388,602,815,879",8
84,"72,143,167,175,202,278,300,393,496,555,647",11
85,"204,281,333,410,416,470,476,619,736,768,776,778,808,875,933,959,990",17
86,"27,75,101,229,236,287,365,410,478,775,856,978,987",13
87,"37,42,74,148,298,362,390,439,487,798,864,920,971",13
88,"531,605,622,761,781,810,821,881",8
89,"121,161,292,485,539,623,985",7
90,"120,161,340,407,494,642,707,777,872,898,899,908,978",13
91,"20,64,102,205,483,705,786,832,861,940",10
92,"31,98,148,182,336,589,684,699,876",9
93,"40,71,120,279,336,411,445,495,573,676,733,775",12
94,"30,102,116,140,318,665,839,949,954",9
95,"133,232,238,455,549,555,581,639,667",9
96,"58,73,121,398,413,420,638,668,744,757,804,816",12
97,"9,179,296,332,590,718,744,757,777,997",10
98,"28,29,92,141,191,251,306,445,517,686,943,969",12
99,"26,117,152,166,479,670,721,860",8
100,"19,64,313,421,498,546,830,948",8
101,"0,9,37,82,86,153,257,292,311,405,438,690",12
102,"91,94,108,207,259,285,365,476,531,674,728,772,883",13
103,"79,145,407,539,622,897",6
104,"8,420,572,597,703,712,736,977",8
105,"141,270,275,284,292,476,706,761,795,801,832",11
106,"480,572,732,819",4
107,"271,310,561,596,640,687,855,864,920,940,998",11
108,"102,154,177,226,340,343,378,581,634",9
109,"53,157,251,549,615",5
110,"24,51,76,246,308,383,488,620,659,671,723,882",12
111,"10,287,471,927,960",5
112,"15,38,80,195,253,452,481,534,692,903,982",11
113,"7,10,248,251,326,350,454,513,665,666,683,714,886,998",14
114,"140,339,360,471,573,710",6
115,"170,256,316,457,480,543,741,826",8
116,"24,94,320,381,784,799,803,804,819",9
117,"14,99,239,270,454,536,566,900",8
118,"19,204,250,462,494,515,551,652,674,718,768,942",12
119,"81,128,193,323,368,371,393,573,578,675,749,784,815,963",14
120,"90,93,244,335,412,449,512,640,931,994,998",11
121,"89,96,160,194,549,577,683,692,695,852,872,878",12
122,"247,333,490,650,785,871,893",7
123,"25,137,485,527,580,728,746",7
124,"158,164,273,330,390,487,511,994",8
125,"59,139,330,370,437,440,618,643,741,817",10
126,"148,413,503,531,611,765,842,985",8
127,"9,328,368,388,404,529,655,687,794,881,904",11
128,"119,169,331,371,454,558,647,674,677,697",10
129,"82,176,192,209,221,297,422,709,783,814,889,994",12
130,"25,439,444,447,455,717,915,968",8
131,"74,141,484,507,596,607,739,876",8
132,"257,569,770,956,987",5
133,"31,95,228,281,385,450,461,572,631,756",10
134,"175,251,609,626,818,894",6
135,"445,467,541,674,857,909,944,949,953,973,996",11
136,"351,410,415,495,604,722,742,947",8
137,"123,149,294,325,428,547,634,767,789,926",10
138,"52,78,160,230,575,665,816,869,940,954",10
139,"32,125,159,206,279,299,320,406,608,623,740,860,912,913",14
140,"8,94,114,174,226,536,545,604,719,727,864,882",12
141,"35,47,98,105,131,279,295,464,500,575,610,994",12
142,"177,223,224,258,348,351,525,716",8
143,"21,84,208,283,373,495,539,552,620,630,650,664,796,980",14
144,"159,166,278,420,448,497,535,570,979",9
145,"103,169,289,355,493,520,593,659,682,736,774,977,993",13
146,"56,76,457,532,539,586,587,590,617,757,760",11
147,"229,293,307,365,380,430,434,545,561,748,796,874",12
148,"28,46,87,92,126,262,835",7
149,"137,152,398,490,539,616,703,915",8
150,"260,290,396,412,431,556,651,662,777,790,894",11
151,"65,210,330,384,586,668,685,784,810,881,890,979,991",13
152,"61,99,149,357,375,456,529,577,685,725,858,913,966",13
153,"7,101,154,348,454,507,565,580,780,816,859,901,932,995",14
154,"108,153,165,186,369,460,490,534,567,640,710,779,980",13
155,"11,502,668,682,723,800,855,933,979",9
156,"67,82,211,295,304,335,411,493,597,771,982",11
157,"22,57,109,311,534,543,571,637,641,653,691,878,958",13
158,"55,124,199,359,826,909",6
159,"139,144,205,207,350,394,443,482,519,551,554,562,630,670,690,720",16
160,"0,76,121,138,243,329,340,450,627,769,853,965,989",13
161,"14,89,90,175,257,261,526,537,800,806,852,999",12
162,"187,218,267,472,671,687,892",7
