node,neighbors,degree
0,"6,24,230,358,422,459,763,814,837,997",10
1,"37,171,344,350,596,684,747,785,843,906",10
2,"99,267,326,380,492,537,671,823,864,893",10
3,"114,227,291,305,581,674,707,740,865,924",10
4,"53,71,132,195,293,333,390,603,639,787",10
5,"165,346,409,498,672,706,715,760,784,915",10
6,"0,107,263,364,376,437,443,471,583,881",10
7,"93,123,139,141,211,273,367,385,736,989",10
8,"79,172,234,523,577,739,812,927,929,931",10
9,"75,175,201,228,507,525,771,809,829,927",10
10,"32,133,339,534,597,609,761,966,990,996",10
11,"51,109,238,321,415,698,724,769,802,883",10
12,"49,114,248,256,345,381,599,754,834,894",10
13,"134,539,588,615,661,671,692,694,825,952",10
14,"156,169,176,209,390,427,456,693,876,891",10
15,"33,39,219,611,685,731,827,867,954,976",10
16,"32,240,329,439,442,664,698,782,936,998",10
17,"110,268,297,471,527,546,562,642,913,961",10
18,"140,212,401,418,706,815,843,881,905,917",10
19,"40,78,263,375,455,463,527,567,644,857",10
20,"23,104,110,215,399,615,702,726,811,877",10
21,"47,361,378,405,528,551,607,645,653,992",10
22,"105,370,432,484,513,578,628,674,675,859",10
23,"20,40,105,218,304,331,556,633,811,875",10
24,"0,115,235,242,244,324,353,395,490,670",10
25,"112,130,164,218,445,472,538,723,823,933",10
26,"36,81,174,453,484,522,648,915,955,988",10
27,"38,223,300,309,369,555,648,957,969,988",10
28,"62,120,171,221,237,386,392,785,924,939",10
29,"74,166,265,288,306,336,570,721,900,920",10
30,"305,309,351,372,665,757,770,900,903,944",10
31,"105,200,330,341,437,530,579,708,815,965",10
32,"10,16,35,179,468,539,629,650,727,807",10
33,"15,78,139,157,180,290,412,445,744,902",10
34,"230,439,467,623,698,771,776,878,905,959",10
35,"32,179,401,474,542,729,746,876,881,916",10
36,"26,237,430,489,626,636,864,916,966,988",10
37,"1,105,137,205,216,258,549,681,775,783",10
38,"27,306,404,488,658,792,828,847,884,928",10
39,"15,87,126,176,235,255,280,355,360,582",10
40,"19,23,132,196,287,437,622,625,636,962",10
41,"53,61,81,286,306,314,315,374,679,789",10
42,"85,219,231,242,288,420,573,766,971,976",10
43,"140,335,403,529,594,611,707,717,866,902",10
44,"213,260,326,396,403,520,546,623,938,952",10
45,"47,308,514,757,815,819,822,857,868,984",10
46,"194,322,325,415,469,699,727,731,755,903",10
47,"21,45,273,301,319,349,447,741,764,881",10
48,"89,404,430,438,474,713,755,821,922,923",10
49,"12,69,122,175,458,534,711,807,941,986",10
50,"108,476,497,660,727,775,830,850,920,945",10
51,"11,58,130,302,353,495,508,633,795,937",10
52,"62,251,432,519,559,560,572,622,659,821",10
53,"4,41,68,244,518,587,648,913,921,989",10
54,"106,371,393,402,491,509,530,834,868,960",10
55,"98,137,237,266,287,451,726,823,943,992",10
56,"73,162,255,284,360,531,640,747,753,769",10
57,"97,229,262,428,512,833,838,876,939,987",10
58,"51,142,153,550,566,582,647,707,797,916",10
59,"269,390,417,495,589,626,846,894,981,988",10
60,"321,413,582,595,662,756,783,800,806,884",10
61,"41,82,105,282,453,511,744,763,856,885",10
62,"28,52,217,605,788,820,863,892,907,994",10
63,"96,124,169,290,330,537,614,621,676,784",10
64,"79,148,211,387,447,489,520,621,815,958",10
65,"75,148,229,271,292,311,403,644,876,938",10
66,"86,135,193,222,477,529,623,871,892,971",10
67,"79,118,324,465,585,665,726,811,813,872",10
68,"53,195,312,475,500,641,730,775,919,924",10
69,"49,168,173,472,484,499,778,795,982,999",10
70,"211,233,247,256,320,352,406,616,836,949",10
71,"4,191,201,234,365,497,609,887,900,909",10
72,"169,331,389,394,568,708,772,795,870,919",10
73,"56,169,225,264,320,495,540,632,642,908",10
74,"29,129,163,367,601,723,747,798,819,929",10
75,"9,65,364,525,527,589,600,653,689,836",10
76,"125,141,207,252,350,462,527,633,762,993",10
77,"154,257,275,438,549,631,643,871,897,914",10
78,"19,33,215,248,336,579,642,706,733,796",10
79,"8,64,67,87,188,229,640,691,715,850",10
80,"88,186,222,333,494,614,676,719,829,999",10
81,"26,41,152,239,250,388,555,568,721,937",10
82,"61,126,226,249,370,421,734,893,916,997",10
83,"133,146,240,270,364,371,588,598,637,789",10
84,"129,284,350,377,656,657,780,791,804,871",10
85,"42,133,177,179,268,533,590,646,698,889",10
86,"66,97,214,228,233,346,387,608,731,919",10
87,"39,79,93,173,244,261,428,560,671,743",10
88,"80,203,363,455,477,525,575,681,754,799",10
89,"48,218,290,319,388,497,543,646,794,922",10
90,"162,371,375,631,637,703,764,777,864,934",10
91,"144,231,275,574,641,704,814,821,832,964",10
92,"201,224,292,500,523,540,679,839,861,993",10
93,"7,87,240,357,466,533,558,677,855,992",10
94,"225,343,416,432,671,723,800,804,820,862",10
95,"107,135,152,189,276,378,497,536,890,993",10
96,"63,165,296,329,423,659,750,757,838,888",10
97,"57,86,126,130,187,335,345,506,648,778",10
98,"55,367,473,474,533,579,597,813,854,980",10
99,"2,147,164,355,357,435,480,611,761,981",10
100,"270,289,306,419,447,531,649,853,923,937",10
101,"117,311,385,576,658,672,701,790,949,990",10
102,"172,384,399,557,559,595,687,691,845,910",10
103,"251,276,310,349,515,524,570,597,874,927",10
104,"20,122,286,445,522,640,750,808,876,908",10
105,"22,23,31,37,61,360,572,701,766,970",10
106,"54,266,345,370,547,586,597,723,764,809",10
107,"6,95,124,327,451,576,596,668,845,947",10
108,"50,424,488,491,544,608,634,816,830,888",10
109,"11,138,183,397,486,559,564,604,800,854",10
110,"17,20,333,419,460,499,641,717,778,952",10
111,"150,284,382,399,400,434,842,922,962,982",10
112,"25,137,383,387,576,589,619,807,819,865",10
113,"178,225,366,399,562,581,640,742,825,895",10
114,"3,12,147,271,413,690,720,729,765,783",10
115,"24,195,240,343,449,614,664,737,802,909",10
116,"129,236,261,309,336,345,481,631,654,786",10
117,"101,206,218,220,357,474,680,686,867,974",10
118,"67,121,129,184,200,355,413,518,611,632",10
119,"272,313,330,436,577,582,593,946,972,994",10
120,"28,213,396,401,426,618,658,795,873,937",10
121,"118,134,136,139,199,305,782,824,825,860",10
122,"49,104,213,241,364,420,615,724,810,961",10
123,"7,335,373,380,381,441,466,516,530,683",10
124,"63,107,144,215,276,394,522,666,719,969",10
125,"76,157,334,400,613,650,817,857,868,993",10
126,"39,82,97,138,151,257,391,514,921,986",10
127,"130,250,373,435,518,636,687,721,776,897",10
128,"352,365,619,667,730,737,783,785,956,959",10
129,"74,84,116,118,177,378,595,634,682,733",10
130,"25,51,97,127,337,338,473,486,608,871",10
131,"161,287,337,340,381,455,545,653,904,920",10
132,"4,40,445,545,546,557,712,779,858,923",10
133,"10,83,85,250,317,334,584,671,714,715",10
134,"13,121,173,206,500,524,613,711,846,924",10
135,"66,95,167,235,305,381,781,906,944,946",10
136,"121,145,322,344,414,456,474,838,938,953",10
137,"37,55,112,157,196,223,751,873,898,948",10
138,"109,126,376,510,515,519,546,664,778,949",10
139,"7,33,121,358,428,774,858,879,895,937",10
140,"18,43,207,393,409,434,712,837,973,980",10
141,"7,76,280,370,511,628,781,883,958,986",10
142,"58,176,194,224,275,299,636,677,826,955",10
143,"238,356,410,458,542,705,825,891,926,937",10
144,"91,124,177,198,227,435,573,585,735,839",10
145,"136,163,172,206,402,462,498,554,654,815",10
146,"83,317,382,416,527,560,686,834,872,979",10
147,"99,114,198,366,425,428,503,511,538,561",10
148,"64,65,164,239,675,826,839,902,972,991",10
149,"323,360,404,487,523,543,549,673,716,942",10
150,"111,332,348,510,575,668,761,801,854,936",10
151,"126,358,362,472,602,642,841,977,986,989",10
152,"81,95,165,291,511,537,754,764,856,880",10
153,"58,510,543,678,698,725,806,810,878,998",10
154,"77,294,329,357,391,661,868,935,991,993",10
155,"237,353,493,527,617,761,765,787,873,975",10
156,"14,193,260,297,418,443,569,641,740,985",10
157,"33,125,137,187,207,711,762,820,899,931",10
158,"188,342,472,676,753,900,915,922,926,960",10
159,"264,273,378,386,444,698,824,866,883,993",10
160,"181,210,303,482,535,605,634,700,709,764",10
161,"131,223,335,336,567,701,745,785,909,978",10
