Node,AverageAttackRate,Rank
818,0.068387,1
206,0.066432,2
333,0.061544,3
33,0.060612,4
639,0.060510,5
811,0.060334,6
85,0.059512,7
984,0.058048,8
580,0.057526,9
962,0.056058,10
42,0.055552,11
955,0.055292,12
549,0.054511,13
805,0.054092,14
749,0.054000,15
859,0.053761,16
410,0.053733,17
696,0.053722,18
70,0.053684,19
715,0.053661,20
743,0.053653,21
272,0.053514,22
511,0.053103,23
784,0.052808,24
466,0.052536,25
924,0.052466,26
685,0.052452,27
594,0.052407,28
476,0.051943,29
682,0.051862,30
236,0.051860,31
641,0.051133,32
944,0.050584,33
969,0.050387,34
589,0.050329,35
51,0.049984,36
278,0.049748,37
227,0.049634,38
521,0.049482,39
928,0.049193,40
966,0.049160,41
525,0.048977,42
894,0.048827,43
578,0.048815,44
221,0.048646,45
478,0.048536,46
388,0.048449,47
768,0.048409,48
510,0.048371,49
789,0.048303,50
829,0.048283,51
875,0.048167,52
232,0.048129,53
263,0.047891,54
462,0.047888,55
814,0.047781,56
402,0.047516,57
119,0.047385,58
315,0.047355,59
320,0.047269,60
572,0.047202,61
748,0.047140,62
620,0.046857,63
679,0.046722,64
247,0.046722,65
256,0.046594,66
785,0.046588,67
663,0.046487,68
153,0.046463,69
801,0.046461,70
538,0.046442,71
177,0.046389,72
58,0.046242,73
353,0.046138,74
665,0.046057,75
9,0.046042,76
3,0.046018,77
690,0.045994,78
752,0.045862,79
421,0.045835,80
456,0.045789,81
654,0.045748,82
291,0.045712,83
347,0.045583,84
86,0.045575,85
260,0.045550,86
723,0.045501,87
77,0.045390,88
238,0.045334,89
159,0.045216,90
340,0.045128,91
931,0.045023,92
659,0.044960,93
816,0.044930,94
554,0.044875,95
615,0.044727,96
745,0.044566,97
334,0.044554,98
793,0.044379,99
454,0.044287,100
741,0.044278,101
292,0.043920,102
287,0.043838,103
815,0.043803,104
555,0.043587,105
281,0.043455,106
977,0.043441,107
139,0.043240,108
113,0.043226,109
90,0.043216,110
300,0.043186,111
212,0.043133,112
540,0.043088,113
409,0.043075,114
470,0.043050,115
455,0.042893,116
933,0.042745,117
67,0.042668,118
497,0.042624,119
566,0.042545,120
181,0.042514,121
593,0.042476,122
766,0.042394,123
714,0.042316,124
374,0.042299,125
225,0.042297,126
151,0.042283,127
840,0.042257,128
279,0.042216,129
548,0.042051,130
