Node,AverageAttackRate,Rank
79,0.009280,1
94,0.009280,2
862,0.009280,3
243,0.009280,4
593,0.009280,5
592,0.009280,6
584,0.009280,7
979,0.009280,8
718,0.009280,9
268,0.009280,10
872,0.009279,11
84,0.009279,12
102,0.009279,13
133,0.009279,14
146,0.009279,15
119,0.009279,16
547,0.009279,17
523,0.009279,18
489,0.009279,19
67,0.009279,20
950,0.009279,21
52,0.009279,22
432,0.009279,23
372,0.009279,24
383,0.009279,25
820,0.009279,26
831,0.009279,27
139,0.009279,28
571,0.009279,29
193,0.009279,30
564,0.009279,31
775,0.009279,32
804,0.009279,33
795,0.009279,34
563,0.009279,35
557,0.009279,36
196,0.009279,37
429,0.009279,38
239,0.009279,39
581,0.009279,40
211,0.009279,41
347,0.009279,42
761,0.009279,43
311,0.009279,44
298,0.009279,45
199,0.009279,46
741,0.009279,47
336,0.009279,48
849,0.009279,49
837,0.009279,50
850,0.009279,51
114,0.009279,52
121,0.009279,53
113,0.009279,54
68,0.009279,55
620,0.009279,56
758,0.009279,57
644,0.009279,58
671,0.009279,59
676,0.009279,60
675,0.009279,61
267,0.009279,62
724,0.009279,63
682,0.009279,64
441,0.009279,65
680,0.009279,66
991,0.009279,67
447,0.009279,68
461,0.009279,69
428,0.009279,70
245,0.009279,71
475,0.009279,72
971,0.009279,73
426,0.009279,74
513,0.009278,75
900,0.009278,76
98,0.009278,77
77,0.009278,78
78,0.009278,79
87,0.009278,80
863,0.009278,81
127,0.009278,82
512,0.009278,83
81,0.009278,84
10,0.009278,85
514,0.009278,86
497,0.009278,87
112,0.009278,88
111,0.009278,89
123,0.009278,90
521,0.009278,91
526,0.009278,92
537,0.009278,93
548,0.009278,94
419,0.009278,95
477,0.009278,96
416,0.009278,97
413,0.009278,98
392,0.009278,99
492,0.009278,100
399,0.009278,101
943,0.009278,102
935,0.009278,103
871,0.009278,104
889,0.009278,105
887,0.009278,106
954,0.009278,107
481,0.009278,108
40,0.009278,109
66,0.009278,110
918,0.009278,111
942,0.009278,112
49,0.009278,113
999,0.009278,114
926,0.009278,115
64,0.009278,116
939,0.009278,117
12,0.009278,118
945,0.009278,119
796,0.009278,120
792,0.009278,121
791,0.009278,122
190,0.009278,123
774,0.009278,124
177,0.009278,125
765,0.009278,126
786,0.009278,127
175,0.009278,128
174,0.009278,129
166,0.009278,130
382,0.009278,131
554,0.009278,132
553,0.009278,133
567,0.009278,134
579,0.009278,135
358,0.009278,136
363,0.009278,137
374,0.009278,138
377,0.009278,139
385,0.009278,140
116,0.009278,141
810,0.009278,142
864,0.009278,143
835,0.009278,144
832,0.009278,145
799,0.009278,146
798,0.009278,147
148,0.009278,148
147,0.009278,149
152,0.009278,150
154,0.009278,151
120,0.009278,152
845,0.009278,153
875,0.009278,154
101,0.009278,155
852,0.009278,156
748,0.009278,157
743,0.009278,158
742,0.009278,159
623,0.009278,160
621,0.009278,161
296,0.009278,162
294,0.009278,163
756,0.009278,164
754,0.009278,165
209,0.009278,166
631,0.009278,167
226,0.009278,168
325,0.009278,169
338,0.009278,170
346,0.009278,171
345,0.009278,172
212,0.009278,173
203,0.009278,174
352,0.009278,175
728,0.009278,176
339,0.009278,177
577,0.009278,178
576,0.009278,179
590,0.009278,180
597,0.009278,181
782,0.009278,182
582,0.009278,183
230,0.009278,184
229,0.009278,185
241,0.009278,186
250,0.009278,187
699,0.009278,188
246,0.009278,189
320,0.009278,190
705,0.009278,191
660,0.009278,192
658,0.009278,193
318,0.009278,194
651,0.009278,195
302,0.009278,196
313,0.009278,197
323,0.009278,198
312,0.009278,199
749,0.009278,200
752,0.009278,201
321,0.009278,202
637,0.009278,203
714,0.009278,204
261,0.009278,205
661,0.009278,206
723,0.009278,207
672,0.009278,208
674,0.009278,209
730,0.009278,210
715,0.009278,211
259,0.009278,212
255,0.009278,213
711,0.009278,214
709,0.009278,215
691,0.009278,216
692,0.009278,217
700,0.009278,218
689,0.009278,219
291,0.009278,220
272,0.009278,221
262,0.009278,222
669,0.009278,223
271,0.009278,224
468,0.009278,225
455,0.009278,226
454,0.009278,227
448,0.009278,228
449,0.009278,229
465,0.009278,230
442,0.009278,231
7,0.009278,232
5,0.009278,233
28,0.009278,234
22,0.009278,235
476,0.009278,236
966,0.009278,237
968,0.009278,238
974,0.009278,239
972,0.009278,240
970,0.009278,241
995,0.009278,242
994,0.009278,243
982,0.009278,244
983,0.009278,245
2,0.009278,246
3,0.009278,247
997,0.009277,248
435,0.009277,249
421,0.009277,250
422,0.009277,251
427,0.009277,252
989,0.009277,253
981,0.009277,254
977,0.009277,255
29,0.009277,256
30,0.009277,257
24,0.009277,258
19,0.009277,259
924,0.009277,260
910,0.009277,261
915,0.009277,262
482,0.009277,263
471,0.009277,264
474,0.009277,265
462,0.009277,266
464,0.009277,267
467,0.009277,268
456,0.009277,269
457,0.009277,270
458,0.009277,271
460,0.009277,272
446,0.009277,273
450,0.009277,274
451,0.009277,275
437,0.009277,276
440,0.009277,277
444,0.009277,278
686,0.009277,279
688,0.009277,280
679,0.009277,281
683,0.009277,282
286,0.009277,283
280,0.009277,284
281,0.009277,285
282,0.009277,286
284,0.009277,287
270,0.009277,288
665,0.009277,289
654,0.009277,290
731,0.009277,291
732,0.009277,292
719,0.009277,293
720,0.009277,294
721,0.009277,295
234,0.009277,296
235,0.009277,297
706,0.009277,298
708,0.009277,299
693,0.009277,300
694,0.009277,301
697,0.009277,302
655,0.009277,303
659,0.009277,304
652,0.009277,305
324,0.009277,306
301,0.009277,307
305,0.009277,308
306,0.009277,309
308,0.009277,310
640,0.009277,311
630,0.009277,312
633,0.009277,313
636,0.009277,314
627,0.009277,315
768,0.009277,316
757,0.009277,317
763,0.009277,318
764,0.009277,319
227,0.009277,320
228,0.009277,321
213,0.009277,322
216,0.009277,323
217,0.009277,324
205,0.009277,325
207,0.009277,326
208,0.009277,327
200,0.009277,328
201,0.009277,329
725,0.009277,330
628,0.009277,331
351,0.009277,332
353,0.009277,333
356,0.009277,334
343,0.009277,335
335,0.009277,336
328,0.009277,337
612,0.009277,338
601,0.009277,339
602,0.009277,340
604,0.009277,341
595,0.009277,342
585,0.009277,343
587,0.009277,344
789,0.009277,345
785,0.009277,346
787,0.009277,347
777,0.009277,348
779,0.009277,349
191,0.009277,350
192,0.009277,351
194,0.009277,352
181,0.009277,353
182,0.009277,354
183,0.009277,355
185,0.009277,356
165,0.009277,357
168,0.009277,358
766,0.009277,359
572,0.009277,360
