Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
818,0.068387,1,0.023023023023023025,0.011440064155702163
206,0.066432,2,0.02002002002002002,0.008670881918531558
333,0.061544,3,0.02002002002002002,0.008127419499351494
33,0.060612,4,0.01901901901901902,0.0072854044118538415
639,0.06051,5,0.02002002002002002,0.00830363947295897
811,0.060334,6,0.01901901901901902,0.0075550141357254045
85,0.059512,7,0.017017017017017015,0.0057242114021563454
984,0.058048,8,0.018018018018018018,0.006731558572103577
580,0.057526,9,0.016016016016016016,0.005248004726744305
962,0.056058,10,0.016016016016016016,0.005082361521095204
42,0.055552,11,0.018018018018018018,0.007090163230807362
955,0.055292,12,0.015015015015015015,0.004580206411023037
549,0.054511,13,0.017017017017017015,0.005468206235781929
805,0.054092,14,0.016016016016016016,0.005004723894521915
749,0.054,15,0.015015015015015015,0.004367107438014162
859,0.053761,16,0.015015015015015015,0.004856851850980798
410,0.053733,17,0.015015015015015015,0.004586384132930424
696,0.053722,18,0.016016016016016016,0.005768330349936933
70,0.053684,19,0.015015015015015015,0.004533380266105897
715,0.053661,20,0.016016016016016016,0.005224856070644194
743,0.053653,21,0.015015015015015015,0.0053196681525880295
272,0.053514,22,0.016016016016016016,0.005185833178536291
511,0.053103,23,0.015015015015015015,0.004496707181031772
784,0.052808,24,0.016016016016016016,0.004889682477315794
466,0.052536,25,0.015015015015015015,0.0046073641330357145
924,0.052466,26,0.014014014014014014,0.004110670983504244
685,0.052452,27,0.017017017017017015,0.006351638224142844
594,0.052407,28,0.017017017017017015,0.006204935411332666
476,0.051943,29,0.016016016016016016,0.005434449766387562
682,0.051862,30,0.016016016016016016,0.005061407816607098
236,0.05186,31,0.016016016016016016,0.005455881967635419
641,0.051133,32,0.017017017017017015,0.006281608969824298
944,0.050584,33,0.016016016016016016,0.005326818557565578
969,0.050387,34,0.015015015015015015,0.004844018808050725
589,0.050329,35,0.014014014014014014,0.004523351385803776
51,0.049984,36,0.015015015015015015,0.004793906889886293
278,0.049748,37,0.017017017017017015,0.005715820477486847
227,0.049634,38,0.015015015015015015,0.004999646318492605
521,0.049482,39,0.016016016016016016,0.005240854086037538
928,0.049193,40,0.015015015015015015,0.00487903677817214
966,0.04916,41,0.015015015015015015,0.004581634649088766
525,0.048977,42,0.014014014014014014,0.00416238114640565
894,0.048827,43,0.015015015015015015,0.004613012247426759
578,0.048815,44,0.015015015015015015,0.004643765547500237
221,0.048646,45,0.016016016016016016,0.005109553895729452
