Node,AverageAttackRate
0,0.436201
1,0.560008
2,0.619012
3,0.644585
4,0.655084
5,0.659238
6,0.660784
7,0.661174
8,0.660784
9,0.659238
10,0.655084
11,0.644585
12,0.619012
13,0.560008
14,0.436201
15,0.560009
16,0.700568
17,0.759177
18,0.781720
19,0.790145
20,0.793255
21,0.794360
22,0.794632
23,0.794360
24,0.793255
25,0.790145
26,0.781720
27,0.759177
28,0.700568
29,0.560009
30,0.619015
31,0.759179
32,0.810877
33,0.828542
34,0.834491
35,0.836505
36,0.837174
37,0.837333
38,0.837174
39,0.836505
40,0.834491
41,0.828542
42,0.810877
43,0.759179
44,0.619015
45,0.644594
46,0.781726
47,0.828545
48,0.843307
49,0.847892
50,0.849325
51,0.849767
52,0.849868
53,0.849767
54,0.849325
55,0.847892
56,0.843307
57,0.828545
58,0.781726
59,0.644594
60,0.655106
61,0.790159
62,0.834498
63,0.847894
64,0.851860
65,0.853034
66,0.853378
67,0.853452
68,0.853378
69,0.853034
70,0.851860
71,0.847894
72,0.834498
73,0.790159
74,0.655106
75,0.659295
76,0.793292
77,0.836524
78,0.849334
79,0.853039
80,0.854105
81,0.854408
82,0.854471
83,0.854408
84,0.854105
85,0.853039
86,0.849334
87,0.836524
88,0.793292
89,0.659295
90,0.660932
91,0.794457
92,0.837224
93,0.849794
94,0.853393
95,0.854416
96,0.854702
97,0.854761
98,0.854702
99,0.854416
100,0.853393
101,0.849794
102,0.837224
103,0.794457
104,0.660932
105,0.661563
106,0.794890
107,0.837471
108,0.849944
109,0.853501
110,0.854507
111,0.854786
112,0.854844
113,0.854786
114,0.854507
115,0.853501
116,0.849944
117,0.837471
118,0.794890
119,0.661563
120,0.661800
121,0.795049
122,0.837557
123,0.849994
124,0.853535
125,0.854534
126,0.854810
127,0.854867
128,0.854810
129,0.854534
130,0.853535
131,0.849994
132,0.837557
133,0.795049
134,0.661800
135,0.661879
136,0.795102
137,0.837585
138,0.850009
139,0.853544
140,0.854541
141,0.854817
142,0.854874
143,0.854817
144,0.854541
145,0.853544
146,0.850009
147,0.837585
148,0.795102
149,0.661879
150,0.661879
151,0.795102
152,0.837585
153,0.850009
154,0.853544
155,0.854541
156,0.854817
157,0.854874
158,0.854817
159,0.854541
160,0.853544
161,0.850009
162,0.837585
163,0.795102
164,0.661879
165,0.661800
166,0.795049
167,0.837557
168,0.849994
169,0.853535
170,0.854534
171,0.854810
172,0.854867
173,0.854810
174,0.854534
175,0.853535
176,0.849994
177,0.837557
178,0.795049
179,0.661800
180,0.661563
181,0.794890
182,0.837471
183,0.849944
184,0.853501
185,0.854507
186,0.854786
187,0.854844
188,0.854786
189,0.854507
190,0.853501
191,0.849944
192,0.837471
193,0.794890
194,0.661563
195,0.660932
196,0.794457
197,0.837224
198,0.849794
199,0.853393
200,0.854416
201,0.854702
202,0.854761
203,0.854702
204,0.854416
205,0.853393
206,0.849794
207,0.837224
208,0.794457
209,0.660932
210,0.659295
211,0.793292
212,0.836524
213,0.849334
214,0.853039
215,0.854105
216,0.854408
217,0.854471
218,0.854408
219,0.854105
220,0.853039
221,0.849334
222,0.836524
223,0.793292
224,0.659295
225,0.655106
226,0.790159
227,0.834498
228,0.847894
229,0.851860
230,0.853034
231,0.853378
232,0.853452
233,0.853378
234,0.853034
235,0.851860
236,0.847894
237,0.834498
238,0.790159
239,0.655106
240,0.644594
241,0.781726
242,0.828545
243,0.843307
244,0.847892
245,0.849325
246,0.849767
247,0.849868
248,0.849767
249,0.849325
250,0.847892
251,0.843307
252,0.828545
253,0.781726
254,0.644594
255,0.619015
256,0.759179
257,0.810877
258,0.828542
259,0.834491
260,0.836505
261,0.837174
262,0.837333
263,0.837174
264,0.836505
265,0.834491
266,0.828542
267,0.810877
268,0.759179
269,0.619015
270,0.560009
271,0.700568
272,0.759177
273,0.781720
274,0.790145
275,0.793255
276,0.794360
277,0.794632
278,0.794360
279,0.793255
280,0.790145
281,0.781720
282,0.759177
283,0.700568
284,0.560009
285,0.436201
286,0.560008
287,0.619012
288,0.644585
289,0.655084
290,0.659238
291,0.660784
292,0.661174
293,0.660784
294,0.659238
295,0.655084
296,0.644585
297,0.619012
298,0.560008
299,0.436201
