node,neighbors,degree
0,"1,15",2
1,"0,2,16",3
2,"1,3,17",3
3,"2,4,18",3
4,"3,5,19",3
5,"4,6,20",3
6,"5,7,21",3
7,"6,8,22",3
8,"7,9,23",3
9,"8,10,24",3
10,"9,11,25",3
11,"10,12,26",3
12,"11,13,27",3
13,"12,14,28",3
14,"13,29",2
15,"0,16,30",3
16,"1,15,17,31",4
17,"2,16,18,32",4
18,"3,17,19,33",4
19,"4,18,20,34",4
20,"5,19,21,35",4
21,"6,20,22,36",4
22,"7,21,23,37",4
23,"8,22,24,38",4
24,"9,23,25,39",4
25,"10,24,26,40",4
26,"11,25,27,41",4
27,"12,26,28,42",4
28,"13,27,29,43",4
29,"14,28,44",3
30,"15,31,45",3
31,"16,30,32,46",4
32,"17,31,33,47",4
33,"18,32,34,48",4
34,"19,33,35,49",4
35,"20,34,36,50",4
36,"21,35,37,51",4
37,"22,36,38,52",4
38,"23,37,39,53",4
39,"24,38,40,54",4
40,"25,39,41,55",4
41,"26,40,42,56",4
42,"27,41,43,57",4
43,"28,42,44,58",4
44,"29,43,59",3
45,"30,46,60",3
46,"31,45,47,61",4
47,"32,46,48,62",4
48,"33,47,49,63",4
49,"34,48,50,64",4
50,"35,49,51,65",4
51,"36,50,52,66",4
52,"37,51,53,67",4
53,"38,52,54,68",4
54,"39,53,55,69",4
55,"40,54,56,70",4
56,"41,55,57,71",4
57,"42,56,58,72",4
58,"43,57,59,73",4
59,"44,58,74",3
60,"45,61,75",3
61,"46,60,62,76",4
62,"47,61,63,77",4
63,"48,62,64,78",4
64,"49,63,65,79",4
65,"50,64,66,80",4
66,"51,65,67,81",4
67,"52,66,68,82",4
68,"53,67,69,83",4
69,"54,68,70,84",4
70,"55,69,71,85",4
71,"56,70,72,86",4
72,"57,71,73,87",4
73,"58,72,74,88",4
74,"59,73,89",3
75,"60,76,90",3
76,"61,75,77,91",4
77,"62,76,78,92",4
78,"63,77,79,93",4
79,"64,78,80,94",4
80,"65,79,81,95",4
81,"66,80,82,96",4
82,"67,81,83,97",4
83,"68,82,84,98",4
84,"69,83,85,99",4
85,"70,84,86,100",4
86,"71,85,87,101",4
87,"72,86,88,102",4
88,"73,87,89,103",4
89,"74,88,104",3
90,"75,91,105",3
91,"76,90,92,106",4
92,"77,91,93,107",4
93,"78,92,94,108",4
94,"79,93,95,109",4
95,"80,94,96,110",4
96,"81,95,97,111",4
97,"82,96,98,112",4
98,"83,97,99,113",4
99,"84,98,100,114",4
100,"85,99,101,115",4
101,"86,100,102,116",4
102,"87,101,103,117",4
103,"88,102,104,118",4
104,"89,103,119",3
105,"90,106,120",3
106,"91,105,107,121",4
107,"92,106,108,122",4
108,"93,107,109,123",4
109,"94,108,110,124",4
110,"95,109,111,125",4
111,"96,110,112,126",4
112,"97,111,113,127",4
113,"98,112,114,128",4
114,"99,113,115,129",4
115,"100,114,116,130",4
116,"101,115,117,131",4
117,"102,116,118,132",4
118,"103,117,119,133",4
119,"104,118,134",3
120,"105,121,135",3
121,"106,120,122,136",4
122,"107,121,123,137",4
123,"108,122,124,138",4
124,"109,123,125,139",4
125,"110,124,126,140",4
126,"111,125,127,141",4
127,"112,126,128,142",4
128,"113,127,129,143",4
129,"114,128,130,144",4
130,"115,129,131,145",4
131,"116,130,132,146",4
132,"117,131,133,147",4
133,"118,132,134,148",4
134,"119,133,149",3
135,"120,136,150",3
136,"121,135,137,151",4
137,"122,136,138,152",4
138,"123,137,139,153",4
139,"124,138,140,154",4
140,"125,139,141,155",4
141,"126,140,142,156",4
142,"127,141,143,157",4
143,"128,142,144,158",4
144,"129,143,145,159",4
145,"130,144,146,160",4
146,"131,145,147,161",4
147,"132,146,148,162",4
148,"133,147,149,163",4
149,"134,148,164",3
150,"135,151,165",3
151,"136,150,152,166",4
152,"137,151,153,167",4
153,"138,152,154,168",4
154,"139,153,155,169",4
155,"140,154,156,170",4
156,"141,155,157,171",4
157,"142,156,158,172",4
158,"143,157,159,173",4
159,"144,158,160,174",4
160,"145,159,161,175",4
161,"146,160,162,176",4
162,"147,161,163,177",4
163,"148,162,164,178",4
164,"149,163,179",3
165,"150,166,180",3
166,"151,165,167,181",4
