node,neighbors,degree
0,"1,2,3",3
1,"0,4,5,6",4
2,"0,7,8,9",4
3,"0,10,11,12",4
4,"1,13,14,15",4
5,"1,16,17,18",4
6,"1,19,20,21",4
7,"2,22,23,24",4
8,"2,25,26,27",4
9,"2,28,29,30",4
10,"3,31,32,33",4
11,"3,34,35,36",4
12,"3,37,38,39",4
13,"4,40,41,42",4
14,"4,43,44,45",4
15,"4,46,47,48",4
16,"5,49,50,51",4
17,"5,52,53,54",4
18,"5,55,56,57",4
19,"6,58,59,60",4
20,"6,61,62,63",4
21,"6,64,65,66",4
22,"7,67,68,69",4
23,"7,70,71,72",4
24,"7,73,74,75",4
25,"8,76,77,78",4
26,"8,79,80,81",4
27,"8,82,83,84",4
28,"9,85,86,87",4
29,"9,88,89,90",4
30,"9,91,92,93",4
31,"10,94,95,96",4
32,"10,97,98,99",4
33,"10,100,101,102",4
34,"11,103,104,105",4
35,"11,106,107,108",4
36,"11,109,110,111",4
37,"12,112,113,114",4
38,"12,115,116,117",4
39,"12,118,119,120",4
40,"13,121,122,123",4
41,"13,124,125,126",4
42,"13,127,128,129",4
43,"14,130,131,132",4
44,"14,133,134,135",4
45,"14,136,137,138",4
46,"15,139,140,141",4
47,"15,142,143,144",4
48,"15,145,146,147",4
49,"16,148,149,150",4
50,"16,151,152,153",4
51,"16,154,155,156",4
52,"17,157,158,159",4
53,"17,160,161,162",4
54,"17,163,164,165",4
55,"18,166,167,168",4
56,"18,169,170,171",4
57,"18,172,173,174",4
58,"19,175,176,177",4
59,"19,178,179,180",4
60,"19,181,182,183",4
61,"20,184,185,186",4
62,"20,187,188,189",4
63,"20,190,191,192",4
64,"21,193,194,195",4
65,"21,196,197,198",4
66,"21,199,200,201",4
67,"22,202,203,204",4
68,"22,205,206,207",4
69,"22,208,209,210",4
70,"23,211,212,213",4
71,"23,214,215,216",4
72,"23,217,218,219",4
73,"24,220,221,222",4
74,"24,223,224,225",4
75,"24,226,227,228",4
76,"25,229,230,231",4
77,"25,232,233,234",4
78,"25,235,236,237",4
79,"26,238,239,240",4
80,"26,241,242,243",4
81,"26,244,245,246",4
82,"27,247,248,249",4
83,"27,250,251,252",4
84,"27,253,254,255",4
85,"28,256,257,258",4
86,"28,259,260,261",4
87,"28,262,263,264",4
88,"29,265,266,267",4
89,"29,268,269,270",4
90,"29,271,272,273",4
91,"30,274,275,276",4
92,"30,277,278,279",4
93,"30,280,281,282",4
94,"31,283,284,285",4
95,"31,286,287,288",4
96,"31,289,290,291",4
97,"32,292,293,294",4
98,"32,295,296,297",4
99,"32,298,299",3
100,33,1
101,33,1
102,33,1
103,34,1
104,34,1
105,34,1
106,35,1
107,35,1
108,35,1
109,36,1
110,36,1
111,36,1
112,37,1
113,37,1
114,37,1
115,38,1
116,38,1
117,38,1
118,39,1
119,39,1
120,39,1
121,40,1
122,40,1
123,40,1
124,41,1
125,41,1
126,41,1
127,42,1
128,42,1
129,42,1
130,43,1
131,43,1
132,43,1
133,44,1
134,44,1
135,44,1
136,45,1
137,45,1
138,45,1
139,46,1
140,46,1
141,46,1
142,47,1
143,47,1
144,47,1
145,48,1
146,48,1
147,48,1
148,49,1
149,49,1
150,49,1
151,50,1
152,50,1
153,50,1
154,51,1
155,51,1
156,51,1
157,52,1
158,52,1
159,52,1
160,53,1
161,53,1
162,53,1
163,54,1
164,54,1
165,54,1
166,55,1
167,55,1
168,55,1
169,56,1
170,56,1
171,56,1
172,57,1
173,57,1
174,57,1
175,58,1
176,58,1
177,58,1
178,59,1
179,59,1
180,59,1
181,60,1
182,60,1
183,60,1
184,61,1
185,61,1
186,61,1
187,62,1
188,62,1
189,62,1
190,63,1
191,63,1
192,63,1
193,64,1
194,64,1
195,64,1
196,65,1
197,65,1
198,65,1
199,66,1
200,66,1
201,66,1
202,67,1
203,67,1
204,67,1
205,68,1
206,68,1
207,68,1
208,69,1
209,69,1
210,69,1
211,70,1
212,70,1
213,70,1
214,71,1
215,71,1
216,71,1
217,72,1
218,72,1
219,72,1
220,73,1
221,73,1
222,73,1
223,74,1
224,74,1
225,74,1
226,75,1
227,75,1
228,75,1
229,76,1
230,76,1
231,76,1
232,77,1
233,77,1
234,77,1
235,78,1
236,78,1
237,78,1
238,79,1
239,79,1
240,79,1
241,80,1
242,80,1
243,80,1
244,81,1
245,81,1
246,81,1
247,82,1
248,82,1
249,82,1
250,83,1
251,83,1
252,83,1
253,84,1
254,84,1
255,84,1
256,85,1
257,85,1
258,85,1
259,86,1
260,86,1
261,86,1
262,87,1
263,87,1
264,87,1
265,88,1
266,88,1
267,88,1
268,89,1
269,89,1
270,89,1
271,90,1
272,90,1
273,90,1
274,91,1
275,91,1
276,91,1
277,92,1
278,92,1
279,92,1
280,93,1
281,93,1
282,93,1
283,94,1
284,94,1
285,94,1
286,95,1
287,95,1
288,95,1
289,96,1
290,96,1
291,96,1
292,97,1
293,97,1
294,97,1
295,98,1
296,98,1
297,98,1
298,99,1
299,99,1
