Node,AverageAttackRate,Rank
299,0.006689,1
0,0.006689,2
1,0.006689,3
2,0.006689,4
3,0.006689,5
4,0.006689,6
5,0.006689,7
6,0.006689,8
7,0.006689,9
8,0.006689,10
9,0.006689,11
10,0.006689,12
260,0.006689,13
261,0.006689,14
262,0.006689,15
263,0.006689,16
264,0.006689,17
265,0.006689,18
266,0.006689,19
267,0.006689,20
252,0.006689,21
253,0.006689,22
254,0.006689,23
255,0.006689,24
256,0.006689,25
257,0.006689,26
258,0.006689,27
259,0.006689,28
244,0.006689,29
245,0.006689,30
246,0.006689,31
247,0.006689,32
248,0.006689,33
249,0.006689,34
250,0.006689,35
251,0.006689,36
236,0.006689,37
237,0.006689,38
238,0.006689,39
239,0.006689,40
240,0.006689,41
241,0.006689,42
242,0.006689,43
243,0.006689,44
68,0.006689,45
69,0.006689,46
70,0.006689,47
71,0.006689,48
72,0.006689,49
73,0.006689,50
74,0.006689,51
75,0.006689,52
60,0.006689,53
61,0.006689,54
62,0.006689,55
63,0.006689,56
64,0.006689,57
65,0.006689,58
66,0.006689,59
67,0.006689,60
52,0.006689,61
53,0.006689,62
54,0.006689,63
55,0.006689,64
56,0.006689,65
57,0.006689,66
58,0.006689,67
59,0.006689,68
44,0.006689,69
45,0.006689,70
46,0.006689,71
47,0.006689,72
48,0.006689,73
49,0.006689,74
50,0.006689,75
51,0.006689,76
100,0.006689,77
101,0.006689,78
102,0.006689,79
103,0.006689,80
104,0.006689,81
105,0.006689,82
106,0.006689,83
107,0.006689,84
92,0.006689,85
93,0.006689,86
94,0.006689,87
95,0.006689,88
96,0.006689,89
97,0.006689,90
98,0.006689,91
99,0.006689,92
84,0.006689,93
85,0.006689,94
86,0.006689,95
87,0.006689,96
88,0.006689,97
89,0.006689,98
90,0.006689,99
91,0.006689,100
76,0.006689,101
77,0.006689,102
78,0.006689,103
79,0.006689,104
80,0.006689,105
81,0.006689,106
82,0.006689,107
83,0.006689,108
132,0.006689,109
133,0.006689,110
134,0.006689,111
135,0.006689,112
136,0.006689,113
137,0.006689,114
138,0.006689,115
139,0.006689,116
124,0.006689,117
125,0.006689,118
126,0.006689,119
127,0.006689,120
128,0.006689,121
129,0.006689,122
130,0.006689,123
131,0.006689,124
116,0.006689,125
117,0.006689,126
118,0.006689,127
119,0.006689,128
120,0.006689,129
121,0.006689,130
122,0.006689,131
123,0.006689,132
108,0.006689,133
109,0.006689,134
110,0.006689,135
111,0.006689,136
112,0.006689,137
113,0.006689,138
114,0.006689,139
115,0.006689,140
164,0.006689,141
165,0.006689,142
166,0.006689,143
167,0.006689,144
168,0.006689,145
169,0.006689,146
170,0.006689,147
171,0.006689,148
156,0.006689,149
157,0.006689,150
158,0.006689,151
159,0.006689,152
160,0.006689,153
161,0.006689,154
162,0.006689,155
163,0.006689,156
148,0.006689,157
149,0.006689,158
150,0.006689,159
151,0.006689,160
152,0.006689,161
153,0.006689,162
154,0.006689,163
155,0.006689,164
140,0.006689,165
141,0.006689,166
142,0.006689,167
143,0.006689,168
144,0.006689,169
145,0.006689,170
146,0.006689,171
147,0.006689,172
196,0.006689,173
197,0.006689,174
198,0.006689,175
199,0.006689,176
200,0.006689,177
201,0.006689,178
202,0.006689,179
203,0.006689,180
188,0.006689,181
189,0.006689,182
190,0.006689,183
191,0.006689,184
192,0.006689,185
193,0.006689,186
194,0.006689,187
195,0.006689,188
180,0.006689,189
181,0.006689,190
182,0.006689,191
183,0.006689,192
184,0.006689,193
185,0.006689,194
186,0.006689,195
187,0.006689,196
172,0.006689,197
173,0.006689,198
174,0.006689,199
175,0.006689,200
176,0.006689,201
177,0.006689,202
178,0.006689,203
179,0.006689,204
228,0.006689,205
229,0.006689,206
230,0.006689,207
231,0.006689,208
232,0.006689,209
233,0.006689,210
234,0.006689,211
235,0.006689,212
220,0.006689,213
221,0.006689,214
222,0.006689,215
223,0.006689,216
224,0.006689,217
225,0.006689,218
226,0.006689,219
227,0.006689,220
212,0.006689,221
213,0.006689,222
214,0.006689,223
215,0.006689,224
216,0.006689,225
217,0.006689,226
218,0.006689,227
219,0.006689,228
204,0.006689,229
205,0.006689,230
206,0.006689,231
207,0.006689,232
208,0.006689,233
209,0.006689,234
210,0.006689,235
211,0.006689,236
292,0.006689,237
293,0.006689,238
294,0.006689,239
295,0.006689,240
296,0.006689,241
297,0.006689,242
298,0.006689,243
11,0.006689,244
284,0.006689,245
285,0.006689,246
286,0.006689,247
287,0.006689,248
288,0.006689,249
289,0.006689,250
290,0.006689,251
291,0.006689,252
276,0.006689,253
277,0.006689,254
278,0.006689,255
279,0.006689,256
280,0.006689,257
281,0.006689,258
282,0.006689,259
283,0.006689,260
268,0.006689,261
269,0.006689,262
270,0.006689,263
271,0.006689,264
272,0.006689,265
273,0.006689,266
274,0.006689,267
275,0.006689,268
36,0.006689,269
37,0.006689,270
38,0.006689,271
39,0.006689,272
40,0.006689,273
41,0.006689,274
42,0.006689,275
43,0.006689,276
28,0.006689,277
29,0.006689,278
30,0.006689,279
31,0.006689,280
32,0.006689,281
33,0.006689,282
34,0.006689,283
35,0.006689,284
20,0.006689,285
21,0.006689,286
22,0.006689,287
23,0.006689,288
24,0.006689,289
25,0.006689,290
26,0.006689,291
27,0.006689,292
12,0.006689,293
13,0.006689,294
14,0.006689,295
15,0.006689,296
16,0.006689,297
17,0.006689,298
18,0.006689,299
19,0.006689,300
