Node,AverageAttackRate,Rank
142,0.854874,1
157,0.854874,2
172,0.854867,3
127,0.854867,4
112,0.854844,5
187,0.854844,6
143,0.854817,7
141,0.854817,8
156,0.854817,9
158,0.854817,10
128,0.854810,11
126,0.854810,12
173,0.854810,13
171,0.854810,14
113,0.854786,15
188,0.854786,16
111,0.854786,17
186,0.854786,18
97,0.854761,19
202,0.854761,20
98,0.854702,21
203,0.854702,22
201,0.854702,23
96,0.854702,24
159,0.854541,25
155,0.854541,26
140,0.854541,27
144,0.854541,28
170,0.854534,29
174,0.854534,30
129,0.854534,31
125,0.854534,32
114,0.854507,33
110,0.854507,34
185,0.854507,35
189,0.854507,36
217,0.854471,37
82,0.854471,38
99,0.854416,39
95,0.854416,40
200,0.854416,41
204,0.854416,42
218,0.854408,43
216,0.854408,44
81,0.854408,45
83,0.854408,46
215,0.854105,47
219,0.854105,48
80,0.854105,49
84,0.854105,50
154,0.853544,51
139,0.853544,52
160,0.853544,53
145,0.853544,54
124,0.853535,55
169,0.853535,56
175,0.853535,57
130,0.853535,58
190,0.853501,59
109,0.853501,60
184,0.853501,61
115,0.853501,62
67,0.853452,63
232,0.853452,64
205,0.853393,65
199,0.853393,66
100,0.853393,67
94,0.853393,68
66,0.853378,69
231,0.853378,70
233,0.853378,71
68,0.853378,72
85,0.853039,73
220,0.853039,74
214,0.853039,75
79,0.853039,76
234,0.853034,77
69,0.853034,78
65,0.853034,79
230,0.853034,80
70,0.851860,81
229,0.851860,82
235,0.851860,83
64,0.851860,84
146,0.850009,85
153,0.850009,86
138,0.850009,87
161,0.850009,88
176,0.849994,89
123,0.849994,90
131,0.849994,91
168,0.849994,92
116,0.849944,93
191,0.849944,94
183,0.849944,95
108,0.849944,96
247,0.849868,97
52,0.849868,98
206,0.849794,99
101,0.849794,100
198,0.849794,101
93,0.849794,102
248,0.849767,103
51,0.849767,104
53,0.849767,105
246,0.849767,106
213,0.849334,107
221,0.849334,108
78,0.849334,109
86,0.849334,110
50,0.849325,111
54,0.849325,112
245,0.849325,113
249,0.849325,114
236,0.847894,115
228,0.847894,116
71,0.847894,117
63,0.847894,118
49,0.847892,119
250,0.847892,120
244,0.847892,121
55,0.847892,122
251,0.843307,123
243,0.843307,124
48,0.843307,125
56,0.843307,126
162,0.837585,127
147,0.837585,128
152,0.837585,129
137,0.837585,130
132,0.837557,131
122,0.837557,132
177,0.837557,133
167,0.837557,134
192,0.837471,135
182,0.837471,136
117,0.837471,137
107,0.837471,138
262,0.837333,139
37,0.837333,140
207,0.837224,141
102,0.837224,142
197,0.837224,143
92,0.837224,144
36,0.837174,145
38,0.837174,146
261,0.837174,147
263,0.837174,148
77,0.836524,149
87,0.836524,150
212,0.836524,151
222,0.836524,152
39,0.836505,153
35,0.836505,154
260,0.836505,155
264,0.836505,156
227,0.834498,157
237,0.834498,158
72,0.834498,159
62,0.834498,160
265,0.834491,161
259,0.834491,162
40,0.834491,163
34,0.834491,164
57,0.828545,165
47,0.828545,166
252,0.828545,167
242,0.828545,168
41,0.828542,169
33,0.828542,170
258,0.828542,171
266,0.828542,172
42,0.810877,173
32,0.810877,174
257,0.810877,175
267,0.810877,176
148,0.795102,177
136,0.795102,178
151,0.795102,179
163,0.795102,180
166,0.795049,181
178,0.795049,182
133,0.795049,183
121,0.795049,184
181,0.794890,185
118,0.794890,186
193,0.794890,187
106,0.794890,188
277,0.794632,189
22,0.794632,190
103,0.794457,191
196,0.794457,192
208,0.794457,193
91,0.794457,194
278,0.794360,195
23,0.794360,196
21,0.794360,197
276,0.794360,198
211,0.793292,199
76,0.793292,200
88,0.793292,201
223,0.793292,202
24,0.793255,203
275,0.793255,204
279,0.793255,205
20,0.793255,206
61,0.790159,207
226,0.790159,208
73,0.790159,209
238,0.790159,210
25,0.790145,211
19,0.790145,212
280,0.790145,213
274,0.790145,214
46,0.781726,215
253,0.781726,216
241,0.781726,217
58,0.781726,218
281,0.781720,219
26,0.781720,220
18,0.781720,221
273,0.781720,222
256,0.759179,223
43,0.759179,224
31,0.759179,225
268,0.759179,226
272,0.759177,227
17,0.759177,228
282,0.759177,229
27,0.759177,230
16,0.700568,231
28,0.700568,232
283,0.700568,233
271,0.700568,234
150,0.661879,235
135,0.661879,236
164,0.661879,237
149,0.661879,238
165,0.661800,239
120,0.661800,240
134,0.661800,241
179,0.661800,242
194,0.661563,243
180,0.661563,244
105,0.661563,245
119,0.661563,246
292,0.661174,247
7,0.661174,248
195,0.660932,249
90,0.660932,250
209,0.660932,251
104,0.660932,252
293,0.660784,253
8,0.660784,254
6,0.660784,255
291,0.660784,256
224,0.659295,257
75,0.659295,258
89,0.659295,259
210,0.659295,260
5,0.659238,261
290,0.659238,262
294,0.659238,263
9,0.659238,264
225,0.655106,265
239,0.655106,266
60,0.655106,267
74,0.655106,268
295,0.655084,269
10,0.655084,270
4,0.655084,271
289,0.655084,272
254,0.644594,273
45,0.644594,274
240,0.644594,275
59,0.644594,276
3,0.644585,277
296,0.644585,278
288,0.644585,279
11,0.644585,280
255,0.619015,281
30,0.619015,282
269,0.619015,283
44,0.619015,284
297,0.619012,285
2,0.619012,286
12,0.619012,287
287,0.619012,288
15,0.560009,289
29,0.560009,290
284,0.560009,291
270,0.560009,292
298,0.560008,293
286,0.560008,294
1,0.560008,295
13,0.560008,296
14,0.436201,297
0,0.436201,298
285,0.436201,299
299,0.436201,300
