Node,AverageAttackRate,Rank
0,0.500000,1
204,0.250834,2
203,0.250834,3
202,0.250834,4
201,0.250834,5
200,0.250834,6
199,0.250834,7
198,0.250834,8
224,0.250834,9
196,0.250834,10
195,0.250834,11
194,0.250834,12
193,0.250834,13
192,0.250834,14
191,0.250834,15
190,0.250834,16
189,0.250834,17
188,0.250834,18
197,0.250834,19
223,0.250834,20
222,0.250834,21
221,0.250834,22
220,0.250834,23
219,0.250834,24
218,0.250834,25
217,0.250834,26
216,0.250834,27
205,0.250834,28
214,0.250834,29
213,0.250834,30
212,0.250834,31
211,0.250834,32
210,0.250834,33
209,0.250834,34
208,0.250834,35
207,0.250834,36
206,0.250834,37
215,0.250834,38
167,0.250834,39
166,0.250834,40
165,0.250834,41
164,0.250834,42
163,0.250834,43
162,0.250834,44
161,0.250834,45
160,0.250834,46
187,0.250834,47
158,0.250834,48
157,0.250834,49
156,0.250834,50
155,0.250834,51
154,0.250834,52
153,0.250834,53
152,0.250834,54
151,0.250834,55
159,0.250834,56
186,0.250834,57
185,0.250834,58
184,0.250834,59
183,0.250834,60
182,0.250834,61
181,0.250834,62
180,0.250834,63
179,0.250834,64
168,0.250834,65
177,0.250834,66
176,0.250834,67
175,0.250834,68
174,0.250834,69
173,0.250834,70
172,0.250834,71
171,0.250834,72
170,0.250834,73
169,0.250834,74
178,0.250834,75
23,0.250834,76
22,0.250834,77
21,0.250834,78
20,0.250834,79
19,0.250834,80
18,0.250834,81
17,0.250834,82
16,0.250834,83
225,0.250834,84
14,0.250834,85
13,0.250834,86
12,0.250834,87
299,0.250834,88
298,0.250834,89
297,0.250834,90
296,0.250834,91
295,0.250834,92
15,0.250834,93
42,0.250834,94
41,0.250834,95
40,0.250834,96
39,0.250834,97
38,0.250834,98
37,0.250834,99
36,0.250834,100
35,0.250834,101
24,0.250834,102
33,0.250834,103
32,0.250834,104
31,0.250834,105
30,0.250834,106
29,0.250834,107
28,0.250834,108
27,0.250834,109
26,0.250834,110
25,0.250834,111
34,0.250834,112
274,0.250834,113
273,0.250834,114
272,0.250834,115
271,0.250834,116
270,0.250834,117
269,0.250834,118
268,0.250834,119
235,0.250834,120
294,0.250834,121
233,0.250834,122
232,0.250834,123
231,0.250834,124
230,0.250834,125
229,0.250834,126
228,0.250834,127
227,0.250834,128
226,0.250834,129
150,0.250834,130
234,0.250834,131
293,0.250834,132
292,0.250834,133
291,0.250834,134
290,0.250834,135
289,0.250834,136
288,0.250834,137
287,0.250834,138
286,0.250834,139
275,0.250834,140
284,0.250834,141
283,0.250834,142
282,0.250834,143
281,0.250834,144
280,0.250834,145
279,0.250834,146
278,0.250834,147
277,0.250834,148
276,0.250834,149
285,0.250834,150
55,0.250834,151
54,0.250834,152
53,0.250834,153
52,0.250834,154
51,0.250834,155
50,0.250834,156
49,0.250834,157
48,0.250834,158
149,0.250834,159
46,0.250834,160
45,0.250834,161
44,0.250834,162
267,0.250834,163
266,0.250834,164
265,0.250834,165
264,0.250834,166
263,0.250834,167
47,0.250834,168
74,0.250834,169
73,0.250834,170
72,0.250834,171
71,0.250834,172
70,0.250834,173
69,0.250834,174
68,0.250834,175
67,0.250834,176
56,0.250834,177
65,0.250834,178
64,0.250834,179
63,0.250834,180
62,0.250834,181
61,0.250834,182
60,0.250834,183
59,0.250834,184
58,0.250834,185
57,0.250834,186
66,0.250834,187
241,0.250834,188
240,0.250834,189
239,0.250834,190
238,0.250834,191
237,0.250834,192
236,0.250834,193
43,0.250834,194
243,0.250834,195
262,0.250834,196
10,0.250834,197
9,0.250834,198
8,0.250834,199
7,0.250834,200
6,0.250834,201
5,0.250834,202
4,0.250834,203
3,0.250834,204
2,0.250834,205
11,0.250834,206
261,0.250834,207
260,0.250834,208
259,0.250834,209
258,0.250834,210
257,0.250834,211
256,0.250834,212
255,0.250834,213
254,0.250834,214
242,0.250834,215
252,0.250834,216
251,0.250834,217
250,0.250834,218
249,0.250834,219
248,0.250834,220
247,0.250834,221
246,0.250834,222
245,0.250834,223
244,0.250834,224
253,0.250834,225
130,0.250834,226
129,0.250834,227
128,0.250834,228
127,0.250834,229
126,0.250834,230
125,0.250834,231
124,0.250834,232
123,0.250834,233
75,0.250834,234
121,0.250834,235
120,0.250834,236
119,0.250834,237
118,0.250834,238
117,0.250834,239
116,0.250834,240
115,0.250834,241
114,0.250834,242
122,0.250834,243
1,0.250834,244
148,0.250834,245
147,0.250834,246
146,0.250834,247
145,0.250834,248
144,0.250834,249
143,0.250834,250
142,0.250834,251
131,0.250834,252
140,0.250834,253
139,0.250834,254
138,0.250834,255
137,0.250834,256
136,0.250834,257
135,0.250834,258
134,0.250834,259
133,0.250834,260
132,0.250834,261
141,0.250834,262
93,0.250834,263
92,0.250834,264
91,0.250834,265
90,0.250834,266
89,0.250834,267
88,0.250834,268
87,0.250834,269
86,0.250834,270
113,0.250834,271
84,0.250834,272
83,0.250834,273
82,0.250834,274
81,0.250834,275
80,0.250834,276
79,0.250834,277
78,0.250834,278
77,0.250834,279
76,0.250834,280
85,0.250834,281
112,0.250834,282
111,0.250834,283
110,0.250834,284
109,0.250834,285
108,0.250834,286
107,0.250834,287
106,0.250834,288
105,0.250834,289
94,0.250834,290
103,0.250834,291
102,0.250834,292
101,0.250834,293
100,0.250834,294
99,0.250834,295
98,0.250834,296
97,0.250834,297
96,0.250834,298
95,0.250834,299
104,0.250834,300
