Node,AverageAttackRate,Rank
2,0.061141,1
1,0.061141,2
0,0.059469,3
3,0.051108,4
8,0.049278,5
4,0.049278,6
5,0.049278,7
9,0.049278,8
6,0.049278,9
7,0.049278,10
10,0.041126,11
11,0.035796,12
12,0.035796,13
14,0.034881,14
15,0.034881,15
25,0.034881,16
22,0.034881,17
27,0.034881,18
30,0.034881,19
29,0.034881,20
28,0.034881,21
13,0.034881,22
24,0.034881,23
26,0.034881,24
20,0.034881,25
19,0.034881,26
16,0.034881,27
21,0.034881,28
23,0.034881,29
17,0.034881,30
18,0.034881,31
31,0.030805,32
32,0.030177,33
33,0.025161,34
34,0.022496,35
35,0.022496,36
38,0.022496,37
37,0.022496,38
36,0.022496,39
39,0.022496,40
47,0.022038,41
63,0.022038,42
62,0.022038,43
61,0.022038,44
60,0.022038,45
59,0.022038,46
58,0.022038,47
57,0.022038,48
56,0.022038,49
48,0.022038,50
49,0.022038,51
50,0.022038,52
51,0.022038,53
52,0.022038,54
53,0.022038,55
54,0.022038,56
55,0.022038,57
72,0.022038,58
73,0.022038,59
71,0.022038,60
70,0.022038,61
67,0.022038,62
66,0.022038,63
69,0.022038,64
68,0.022038,65
79,0.022038,66
78,0.022038,67
77,0.022038,68
76,0.022038,69
75,0.022038,70
74,0.022038,71
65,0.022038,72
64,0.022038,73
80,0.022038,74
81,0.022038,75
87,0.022038,76
86,0.022038,77
83,0.022038,78
82,0.022038,79
85,0.022038,80
84,0.022038,81
91,0.022038,82
40,0.022038,83
42,0.022038,84
41,0.022038,85
44,0.022038,86
45,0.022038,87
46,0.022038,88
43,0.022038,89
89,0.022038,90
90,0.022038,91
93,0.022038,92
92,0.022038,93
88,0.022038,94
96,0.019999,95
95,0.019999,96
94,0.019999,97
97,0.019686,98
98,0.019686,99
99,0.018432,100
101,0.013415,101
102,0.013415,102
100,0.013415,103
119,0.012082,104
118,0.012082,105
105,0.012082,106
103,0.012082,107
117,0.012082,108
116,0.012082,109
115,0.012082,110
114,0.012082,111
113,0.012082,112
104,0.012082,113
111,0.012082,114
110,0.012082,115
109,0.012082,116
108,0.012082,117
107,0.012082,118
106,0.012082,119
112,0.012082,120
120,0.012082,121
256,0.011853,122
257,0.011853,123
258,0.011853,124
259,0.011853,125
260,0.011853,126
261,0.011853,127
262,0.011853,128
263,0.011853,129
264,0.011853,130
265,0.011853,131
266,0.011853,132
267,0.011853,133
268,0.011853,134
269,0.011853,135
270,0.011853,136
271,0.011853,137
272,0.011853,138
273,0.011853,139
274,0.011853,140
275,0.011853,141
276,0.011853,142
277,0.011853,143
278,0.011853,144
279,0.011853,145
280,0.011853,146
281,0.011853,147
282,0.011853,148
122,0.011853,149
123,0.011853,150
121,0.011853,151
128,0.011853,152
127,0.011853,153
126,0.011853,154
125,0.011853,155
124,0.011853,156
132,0.011853,157
133,0.011853,158
134,0.011853,159
135,0.011853,160
136,0.011853,161
129,0.011853,162
130,0.011853,163
131,0.011853,164
138,0.011853,165
137,0.011853,166
139,0.011853,167
144,0.011853,168
143,0.011853,169
142,0.011853,170
141,0.011853,171
140,0.011853,172
204,0.011853,173
205,0.011853,174
206,0.011853,175
207,0.011853,176
208,0.011853,177
145,0.011853,178
146,0.011853,179
147,0.011853,180
148,0.011853,181
149,0.011853,182
150,0.011853,183
151,0.011853,184
152,0.011853,185
153,0.011853,186
154,0.011853,187
155,0.011853,188
156,0.011853,189
157,0.011853,190
158,0.011853,191
159,0.011853,192
160,0.011853,193
161,0.011853,194
162,0.011853,195
163,0.011853,196
164,0.011853,197
165,0.011853,198
166,0.011853,199
167,0.011853,200
168,0.011853,201
169,0.011853,202
170,0.011853,203
171,0.011853,204
172,0.011853,205
173,0.011853,206
174,0.011853,207
175,0.011853,208
176,0.011853,209
177,0.011853,210
178,0.011853,211
179,0.011853,212
180,0.011853,213
181,0.011853,214
182,0.011853,215
183,0.011853,216
184,0.011853,217
185,0.011853,218
186,0.011853,219
187,0.011853,220
188,0.011853,221
189,0.011853,222
190,0.011853,223
191,0.011853,224
192,0.011853,225
193,0.011853,226
194,0.011853,227
195,0.011853,228
196,0.011853,229
197,0.011853,230
198,0.011853,231
199,0.011853,232
200,0.011853,233
201,0.011853,234
202,0.011853,235
203,0.011853,236
236,0.011853,237
237,0.011853,238
238,0.011853,239
239,0.011853,240
240,0.011853,241
209,0.011853,242
210,0.011853,243
211,0.011853,244
212,0.011853,245
213,0.011853,246
214,0.011853,247
215,0.011853,248
216,0.011853,249
217,0.011853,250
218,0.011853,251
219,0.011853,252
220,0.011853,253
221,0.011853,254
222,0.011853,255
223,0.011853,256
224,0.011853,257
225,0.011853,258
226,0.011853,259
227,0.011853,260
228,0.011853,261
229,0.011853,262
230,0.011853,263
231,0.011853,264
232,0.011853,265
233,0.011853,266
234,0.011853,267
235,0.011853,268
252,0.011853,269
253,0.011853,270
254,0.011853,271
255,0.011853,272
248,0.011853,273
241,0.011853,274
242,0.011853,275
243,0.011853,276
244,0.011853,277
245,0.011853,278
246,0.011853,279
247,0.011853,280
250,0.011853,281
249,0.011853,282
251,0.011853,283
287,0.010834,284
286,0.010834,285
285,0.010834,286
284,0.010834,287
283,0.010834,288
288,0.010834,289
289,0.010834,290
290,0.010834,291
291,0.010834,292
292,0.010677,293
293,0.010677,294
294,0.010677,295
295,0.010677,296
296,0.010677,297
297,0.010677,298
298,0.010050,299
299,0.010050,300
