Node,AverageAttackRate
1,0.230882
2,0.486810
3,0.542991
4,0.436263
5,0.457058
6,0.244600
7,0.189507
8,0.144019
9,0.165166
10,0.432289
11,0.323047
12,0.260298
13,0.585964
14,0.416345
15,0.171491
16,0.144892
17,0.444886
18,0.120647
19,0.565170
20,0.216470
21,0.309025
22,0.400268
23,0.349673
24,0.492698
25,0.438998
26,0.456509
27,0.597872
28,0.166021
29,0.401924
30,0.174694
31,0.164634
32,0.137393
33,0.115985
34,0.045775
35,0.203835
36,0.514334
37,0.118092
38,0.252575
39,0.136396
40,0.301886
41,0.674120
42,0.045768
43,0.343935
44,0.352068
45,0.319264
46,0.456204
47,0.369445
48,0.236961
49,0.151753
50,0.331229
51,0.368518
52,0.559724
53,0.428881
54,0.362806
55,0.429731
56,0.307359
57,0.509300
58,0.336784
59,0.428506
60,0.388868
61,0.621568
62,0.294189
63,0.405581
64,0.465482
65,0.717316
66,0.300723
67,0.334841
68,0.176757
69,0.436874
70,0.895047
71,0.549538
72,0.377688
73,0.613337
74,0.385959
75,0.361778
76,0.417596
77,0.345495
78,0.387740
79,0.323702
80,0.471721
81,0.363579
82,0.287628
83,0.531868
84,0.278926
85,0.551311
86,0.355414
87,0.398312
88,0.456661
89,0.199298
90,0.243585
91,0.047950
92,0.432878
93,0.342618
94,0.354400
95,0.255839
96,0.496911
97,0.334189
98,0.405994
99,0.262619
100,0.199524
101,0.084718
102,0.207053
103,0.077759
104,0.063210
105,0.411673
106,0.441138
107,0.146226
108,0.505769
109,0.198610
110,0.292813
111,0.327563
112,0.346966
113,0.670989
114,0.204723
115,0.380121
116,0.552989
117,0.144864
118,0.276819
119,0.293784
120,0.745563
121,0.458296
122,0.371273
123,0.221486
124,0.360450
125,0.376191
126,0.548762
127,0.347310
128,0.740588
129,0.309079
130,0.361602
131,0.672637
132,0.192903
133,0.349692
134,0.273270
135,0.622802
136,0.276193
137,0.230988
138,0.408112
139,0.592882
140,0.293714
141,0.572025
142,0.141466
143,0.161422
144,0.630082
145,0.656038
146,0.478102
147,0.540152
148,0.526689
149,0.345904
150,0.492699
151,0.380278
152,0.423423
153,0.209455
154,0.228346
155,0.121841
156,0.356183
157,0.174590
158,0.400285
159,0.065643
160,0.129776
161,0.519969
162,0.279467
163,0.517631
164,0.389144
165,0.550376
166,0.643512
167,0.599118
168,0.498171
169,0.795350
170,0.421681
171,0.272094
172,0.498427
173,0.451054
174,0.408081
175,0.319320
176,0.595732
177,0.308116
178,0.443749
179,0.623932
180,0.512567
181,0.506389
182,0.492940
183,0.641819
184,0.865312
185,0.558055
186,0.605566
187,0.547185
188,0.390201
189,0.000000
190,0.172854
191,0.196130
192,0.246527
193,0.253737
194,0.245610
195,0.574297
196,0.270295
197,0.041470
198,0.051069
199,0.318532
200,0.146762
201,0.427033
202,0.185310
203,0.156614
204,0.276656
205,0.519354
206,0.266313
207,0.252354
208,0.111377
209,0.446941
210,0.144760
211,0.381862
212,0.434135
213,0.392390
214,0.465767
215,0.396025
216,0.350287
217,0.207999
