Node,AverageAttackRate,Rank
70,0.895047,1
184,0.865312,2
169,0.795350,3
120,0.745563,4
128,0.740588,5
65,0.717316,6
41,0.674120,7
131,0.672637,8
113,0.670989,9
145,0.656038,10
166,0.643512,11
183,0.641819,12
144,0.630082,13
179,0.623932,14
135,0.622802,15
61,0.621568,16
73,0.613337,17
186,0.605566,18
167,0.599118,19
27,0.597872,20
176,0.595732,21
139,0.592882,22
13,0.585964,23
195,0.574297,24
141,0.572025,25
19,0.565170,26
52,0.559724,27
185,0.558055,28
116,0.552989,29
85,0.551311,30
165,0.550376,31
71,0.549538,32
126,0.548762,33
187,0.547185,34
3,0.542991,35
147,0.540152,36
83,0.531868,37
148,0.526689,38
161,0.519969,39
205,0.519354,40
163,0.517631,41
36,0.514334,42
180,0.512567,43
57,0.509300,44
181,0.506389,45
108,0.505769,46
172,0.498427,47
168,0.498171,48
96,0.496911,49
182,0.492940,50
150,0.492699,51
24,0.492698,52
2,0.486810,53
146,0.478102,54
80,0.471721,55
214,0.465767,56
64,0.465482,57
121,0.458296,58
5,0.457058,59
88,0.456661,60
26,0.456509,61
46,0.456204,62
173,0.451054,63
209,0.446941,64
17,0.444886,65
178,0.443749,66
106,0.441138,67
25,0.438998,68
69,0.436874,69
4,0.436263,70
212,0.434135,71
92,0.432878,72
10,0.432289,73
55,0.429731,74
53,0.428881,75
59,0.428506,76
201,0.427033,77
152,0.423423,78
170,0.421681,79
76,0.417596,80
14,0.416345,81
105,0.411673,82
138,0.408112,83
174,0.408081,84
98,0.405994,85
63,0.405581,86
29,0.401924,87
158,0.400285,88
22,0.400268,89
87,0.398312,90
215,0.396025,91
213,0.392390,92
188,0.390201,93
164,0.389144,94
60,0.388868,95
78,0.387740,96
74,0.385959,97
211,0.381862,98
151,0.380278,99
115,0.380121,100
72,0.377688,101
125,0.376191,102
122,0.371273,103
47,0.369445,104
51,0.368518,105
81,0.363579,106
54,0.362806,107
75,0.361778,108
130,0.361602,109
124,0.360450,110
156,0.356183,111
86,0.355414,112
94,0.354400,113
44,0.352068,114
216,0.350287,115
133,0.349692,116
23,0.349673,117
127,0.347310,118
112,0.346966,119
149,0.345904,120
77,0.345495,121
43,0.343935,122
93,0.342618,123
58,0.336784,124
67,0.334841,125
97,0.334189,126
50,0.331229,127
111,0.327563,128
79,0.323702,129
11,0.323047,130
175,0.319320,131
45,0.319264,132
199,0.318532,133
129,0.309079,134
21,0.309025,135
177,0.308116,136
56,0.307359,137
40,0.301886,138
66,0.300723,139
62,0.294189,140
119,0.293784,141
140,0.293714,142
110,0.292813,143
82,0.287628,144
162,0.279467,145
84,0.278926,146
118,0.276819,147
204,0.276656,148
136,0.276193,149
134,0.273270,150
171,0.272094,151
196,0.270295,152
206,0.266313,153
99,0.262619,154
12,0.260298,155
95,0.255839,156
193,0.253737,157
38,0.252575,158
207,0.252354,159
192,0.246527,160
194,0.245610,161
6,0.244600,162
90,0.243585,163
48,0.236961,164
137,0.230988,165
1,0.230882,166
154,0.228346,167
123,0.221486,168
20,0.216470,169
153,0.209455,170
217,0.207999,171
102,0.207053,172
114,0.204723,173
35,0.203835,174
100,0.199524,175
89,0.199298,176
109,0.198610,177
191,0.196130,178
132,0.192903,179
7,0.189507,180
202,0.185310,181
68,0.176757,182
30,0.174694,183
157,0.174590,184
190,0.172854,185
15,0.171491,186
28,0.166021,187
9,0.165166,188
31,0.164634,189
143,0.161422,190
203,0.156614,191
49,0.151753,192
200,0.146762,193
107,0.146226,194
16,0.144892,195
117,0.144864,196
210,0.144760,197
8,0.144019,198
142,0.141466,199
32,0.137393,200
39,0.136396,201
160,0.129776,202
155,0.121841,203
18,0.120647,204
37,0.118092,205
33,0.115985,206
208,0.111377,207
101,0.084718,208
103,0.077759,209
159,0.065643,210
104,0.063210,211
198,0.051069,212
91,0.047950,213
34,0.045775,214
42,0.045768,215
197,0.041470,216
189,0.000000,217
